submission_pk,User,CIDEr,Bleu-1,Bleu-2,Bleu-3,Bleu-4,METEOR,ROUGE-L
1140900,MS_Cog_Svcs-GIT-Single_Model,0.94 (1),0.85 (1),0.70 (1),0.56 (1),0.42 (1),0.28 (1),0.56 (1),
972270,TKD-AI,0.87 (2),0.83 (2),0.69 (2),0.54 (2),0.41 (2),0.27 (2),0.55 (2),
626736,IVA-CASIA,0.81 (3),0.83 (3),0.68 (3),0.54 (3),0.41 (3),0.26 (3),0.54 (3),
626846,SRCB_ML_Lab,0.76 (4),0.82 (4),0.66 (4),0.52 (4),0.39 (4),0.25 (4),0.53 (4),
958995,mmc_unia,0.55 (5),0.76 (5),0.59 (5),0.45 (5),0.33 (5),0.23 (5),0.50 (5),
626775,acdart,0.44 (6),0.71 (6),0.53 (6),0.39 (6),0.28 (6),0.21 (6),0.47 (6),
625333,BNU-WU,0.40 (7),0.69 (7),0.51 (7),0.36 (7),0.25 (7),0.20 (7),0.45 (7),
620958,Alok_singh,0.27 (8),0.65 (8),0.45 (8),0.32 (8),0.22 (8),0.18 (8),0.43 (8),
