submission_pk,User,mAP@0.50,mAP@0.55,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,Avg.mAP
970259,Dahua_001,35.044 (1),32.999 (1),30.599 (1),28.390 (1),26.055 (1),23.348 (1),20.494 (1),17.277 (1),12.707 (1),6.607 (1),23.352 (1),
966610,DeepakSridhar,20.244 (2),18.854 (2),17.581 (2),16.055 (2),14.305 (2),12.697 (2),11.043 (2),9.059 (2),6.774 (2),3.615 (3),13.023 (2),
971204,foolwood,19.446 (3),18.050 (3),16.659 (3),15.254 (3),13.845 (3),12.048 (3),10.470 (3),8.775 (3),6.628 (3),4.002 (2),12.518 (3),
968938,xfyang,19.287 (4),17.820 (4),16.433 (4),14.904 (4),13.542 (4),11.977 (4),10.317 (4),8.422 (4),5.858 (4),3.027 (6),12.159 (4),
970072,zhaoyangnjust,18.611 (6),17.016 (5),15.481 (5),13.798 (5),12.519 (5),10.887 (5),9.281 (5),7.632 (5),5.847 (5),3.327 (4),11.440 (5),
970958,RenHuan,19.045 (5),16.939 (6),15.306 (6),13.585 (6),11.882 (6),10.181 (7),8.855 (7),7.097 (7),5.170 (8),2.084 (10),11.014 (6),
970095,hik_video_group,16.818 (7),15.519 (7),14.290 (7),12.936 (7),11.754 (7),10.324 (6),8.938 (6),7.374 (6),5.468 (6),3.029 (5),10.645 (7),
970961,TerminusBazinga,15.583 (9),14.274 (9),13.183 (8),12.107 (8),10.924 (8),9.638 (8),8.484 (8),7.007 (8),5.266 (7),2.777 (7),9.924 (8),
965113,SweetPotato,16.684 (8),14.619 (8),12.970 (9),11.128 (9),9.708 (10),8.146 (11),6.949 (11),5.627 (11),3.981 (11),1.762 (11),9.157 (9),
968518,yy0577,13.945 (10),13.007 (10),11.878 (10),10.784 (10),9.780 (9),8.671 (9),7.451 (10),6.138 (9),4.699 (9),2.633 (9),8.899 (10),
967621,HUSTCVsquad,13.718 (11),12.732 (11),11.732 (11),10.687 (11),9.629 (11),8.416 (10),7.486 (9),6.073 (10),4.627 (10),2.710 (8),8.781 (11),
970323,ntpham,4.542 (12),3.604 (12),2.766 (12),2.088 (12),1.391 (12),0.842 (12),0.471 (12),0.221 (12),0.086 (12),0.039 (12),1.605 (12),
969920,xubocheng,0.000 (13),0.000 (13),0.000 (13),0.000 (13),0.000 (13),0.000 (13),0.000 (13),0.000 (13),0.000 (13),0.000 (13),0.000 (13),
