submission_pk,User,Avg. Rank,Face,Body,Hands
964171,germs,1.333333 (1),0.298300 (1),0.859800 (1),0.395000 (2),
911016,juliojj,2.000000 (2),0.291700 (2),0.859300 (2),0.395000 (2),
974024,meterix,2.333333 (3),0.291700 (2),0.847800 (4),0.395500 (1),
974818,rays2pix,2.666667 (4),0.291700 (2),0.853800 (3),0.382500 (3),
974803,tuyennguyen,4.000000 (5),0.243400 (3),0.823200 (5),0.377000 (4),
