submission_pk,User,IoU Class,iIoU Class,IoU Category,iIoU Category,Accuracy
658809,jesse1029,0.63 (1),0.34 (1),0.83 (1),0.69 (1),0.82 (2),
647236,baoqianyue,0.62 (2),0.29 (3),0.82 (3),0.63 (3),0.82 (1),
621071,hoya012,0.61 (3),0.32 (2),0.83 (2),0.62 (4),0.81 (3),
646836,MrGranddy,0.54 (4),0.26 (4),0.82 (4),0.65 (2),0.81 (4),
646078,rpytel,0.46 (5),0.22 (5),0.76 (5),0.58 (6),0.79 (5),
640472,tmotyka,0.44 (6),0.21 (7),0.76 (6),0.58 (5),0.79 (6),
645399,liuxinyu,0.44 (7),0.20 (8),0.73 (8),0.51 (12),0.77 (12),
647394,xmj,0.42 (8),0.20 (9),0.74 (7),0.56 (7),0.78 (7),
664607,npust0501,0.42 (9),0.21 (6),0.56 (13),0.42 (13),0.71 (13),
599377,acdart,0.40 (10),0.19 (10),0.72 (10),0.55 (9),0.78 (8),
645929,Ab,0.40 (11),0.19 (11),0.73 (9),0.55 (8),0.78 (9),
605588,attilalengyel,0.40 (12),0.19 (12),0.72 (11),0.55 (10),0.78 (10),
631336,alps177,0.35 (13),0.15 (13),0.69 (12),0.51 (11),0.77 (11),
