submission_pk,User,ARI
736650,Artem_Vazhentsev,0.2565 (1),
738413,davypiraylenko,0.1853 (2),
736745,dementyeva_ds,0.1538 (3),
736738,palette_knife25,0.1283 (4),
737746,vanessa,0.1270 (5),
737737,alexalexalex,0.1127 (6),
739312,alexbelov,0.0910 (7),
739347,MironKuznetsov,0.0463 (8),
737751,kmisterios,0.0269 (9),
737535,gabriel_r,0.0242 (10),
738698,NLPuser,0.0086 (11),
739368,alexeygb,-0.0002 (12),
