submission_pk,User,EM,F1
968317,iidrv,64.31 (1),71.86 (1),
1064908,Kerwen,60.55 (2),68.09 (2),
979845,xiangdeng,57.98 (3),65.26 (4),
951762,shshin1023,57.58 (4),64.72 (5),
1042187,Eva0514,56.31 (5),66.23 (3),
889127,Haitian,46.29 (6),53.30 (6),
705641,wenhu,42.28 (7),49.93 (7),
