submission_pk,User,pckAUC,pckh@0.2,pckh@0.5,pckAUC_hosp,pckAUC_home
954660,proletarians2021,58.692 (1),52.476 (2),87.905 (1),61.623 (1),56.738 (1),
954528,sawradip,58.186 (2),54.762 (1),83.651 (2),61.167 (2),56.198 (2),
951577,RuiZhao,53.479 (3),47.524 (3),80.524 (3),53.087 (3),53.741 (3),
954584,NFP_Undercover,49.798 (4),43.651 (4),76.127 (4),50.623 (4),49.249 (4),
948559,leonardogcapozzi,36.754 (5),31.429 (5),57.921 (5),37.782 (5),36.069 (5),
888251,Nihang,5.960 (6),3.206 (6),12.413 (6),7.480 (6),4.947 (6),
888516,junjun16,1.040 (7),0.302 (7),2.921 (7),2.171 (7),0.286 (7),
