submission_pk,User,GEOMETRIC_MEAN,R1,R5,R10
1135924,hellwayxue,26.40 (1),13.56 (1),32.47 (1),41.79 (2),
1135885,ycsun,24.96 (2),11.81 (3),31.46 (2),41.88 (1),
994654,ioana.croi,23.15 (3),12.08 (2),27.40 (3),37.45 (3),
993133,hgzjy25,19.17 (4),9.13 (4),23.89 (4),32.29 (4),
1147023,rm-rf,13.67 (5),5.72 (5),18.08 (5),24.72 (5),
1146571,tangxc,13.10 (6),5.17 (6),17.62 (6),24.72 (5),
963890,haoxiaoshuai,8.21 (7),3.51 (7),10.06 (7),15.68 (6),
951477,YASA,5.88 (8),1.94 (8),7.84 (8),13.38 (7),
951113,maxbain_vgg,3.45 (9),1.29 (9),3.97 (9),8.03 (8),
