submission_pk,User,score
720735,myaunraitau,0.7729 (1),
720873,zouwuhe,0.7706 (2),
716097,arighosh,0.7698 (3),
720513,qinpersevere,0.7695 (4),
720919,TAL_ML_Group,0.7684 (5),
720820,GuoweiXu,0.7683 (6),
720844,chufenglongwo,0.7682 (7),
720805,whats_your_problem,0.7682 (8),
720855,Karl.K,0.7681 (9),
720827,ayehenmang,0.7677 (10),
720850,hzlihang99,0.7676 (11),
720724,TabChen,0.7675 (12),
720905,shshen,0.7667 (13),
682902,scott.pu.pennstate,0.7635 (14),
720848,HIHI,0.7621 (15),
713022,ts17,0.7621 (16),
718502,lukasolson,0.7601 (17),
720861,hojinYang,0.7593 (18),
677696,owruby,0.7538 (19),
718661,CGYR,0.7537 (20),
680942,ml4edu.sb,0.7504 (21),
715239,usydnlp,0.7466 (22),
668165,xtalclr,0.7459 (23),
689016,lulu,0.7402 (24),
718237,patty_0802,0.7393 (25),
683341,abhilash_sri,0.7382 (26),
718578,AnRui,0.7361 (27),
669526,zhuangyan,0.7348 (28),
719628,Muggleme,0.7316 (29),
672819,lefrank,0.7294 (30),
714834,kv123,0.7264 (31),
668419,jbp,0.7124 (32),
706646,carykjim,0.6730 (33),
705344,tenshow,0.6730 (33),
673751,andrea.becsek,0.6730 (33),
661317,ajecstatic,0.6730 (33),
660340,SuperResearcher,0.6730 (33),
651169,anlam,0.6730 (33),
666938,sansansanye,0.6508 (34),
706473,tbs17,0.6431 (35),
649222,moonlightlane,0.5001 (36),
697717,Huisemao,0.4942 (37),
