submission_pk,User,Accuracy,F-score,MRR,MAP
187891,andrew.finch,0.1891 (1),0.8031 (1),0.2679 (1),0.1877 (1),
184041,amirhj,0.1591 (2),0.7976 (2),0.2377 (2),0.1582 (2),
182531,hcs,0.1482 (3),0.7817 (3),0.1482 (3),0.1466 (3),
