submission_pk,User,Sum of Losses,Performance loss,Privacy loss
869686,biz00bask,-0.239244 (1),0.390008 (4),-0.629252 (5),
866409,blobfish,-0.230669 (2),0.370521 (1),-0.601191 (9),
856499,goulagman,-0.229245 (3),0.373691 (3),-0.602935 (8),
873027,tnogneng,-0.223790 (4),0.373619 (2),-0.597409 (10),
867575,lemonking,-0.219520 (5),0.418908 (7),-0.638428 (4),
866778,gasparteam7,-0.217225 (6),0.402699 (5),-0.619923 (7),
869477,hzx957,-0.217177 (7),0.402758 (6),-0.619935 (6),
840777,MagicPaulo,-0.177616 (8),0.483279 (9),-0.660895 (1),
865758,abdjiber,-0.174649 (9),0.484455 (10),-0.659104 (2),
874768,eustache,-0.158369 (10),0.483198 (8),-0.641567 (3),
869410,SachinSingh1,-0.158369 (10),0.483198 (8),-0.641567 (3),
854356,learner,-0.158369 (10),0.483198 (8),-0.641567 (3),
852395,romain57,-0.158369 (10),0.483198 (8),-0.641567 (3),
