submission_pk,User,Accuracy (top-1)[%],Score2,Score3,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
836855,XinZhang,100.000 (1),100.000 (1),100.000 (1),0.0200 (8),0.0 (2),1.0 (1),
837243,shirly,63.117 (2),63.117 (2),63.117 (2),0.0350 (12),0.0 (2),0.0 (2),
836405,caihuanqia,49.870 (3),49.870 (3),49.870 (3),-1.0000 (1),-1.0 (3),-1.0 (3),
836374,GUI,38.052 (4),38.052 (4),38.052 (4),-1.0000 (1),-1.0 (3),-1.0 (3),
836827,MuXutong,34.286 (5),34.286 (5),34.286 (5),-1.0000 (1),-1.0 (3),-1.0 (3),
836737,h_sk,31.039 (6),31.039 (6),31.039 (6),-1.0000 (1),-1.0 (3),-1.0 (3),
834993,hmhsu,28.701 (7),28.701 (7),28.701 (7),-1.0000 (1),-1.0 (3),-1.0 (3),
837617,raghunath19,25.325 (8),25.325 (8),25.325 (8),-1.0000 (1),-1.0 (3),-1.0 (3),
832583,LeonShangguan,24.026 (9),24.026 (9),24.026 (9),0.0597 (13),0.0 (2),0.0 (2),
837832,yangchris11,23.377 (10),23.377 (10),23.377 (10),0.0010 (3),0.0 (2),0.0 (2),
829556,meye66,22.338 (11),22.338 (11),22.338 (11),0.0204 (9),0.0 (2),0.0 (2),
786311,chagmgang,22.338 (11),22.338 (11),22.338 (11),0.0000 (2),0.0 (2),0.0 (2),
852078,Casian,22.078 (12),22.078 (12),22.078 (12),0.0200 (8),1.0 (1),0.0 (2),
857324,xsourse,20.649 (13),20.649 (13),20.649 (13),-1.0000 (1),-1.0 (3),-1.0 (3),
820641,jb2849,19.351 (14),19.351 (14),19.351 (14),0.0270 (10),0.0 (2),0.0 (2),
830961,MichaelXin,18.442 (15),18.442 (15),18.442 (15),0.1500 (15),0.0 (2),0.0 (2),
828642,Teldrassil_C,18.182 (16),18.182 (16),18.182 (16),0.0100 (6),0.0 (2),0.0 (2),
823738,ga_z_a,17.792 (17),17.792 (17),17.792 (17),0.0600 (14),0.0 (2),0.0 (2),
830026,vamshi,17.727 (18),17.727 (18),17.727 (18),-1.0000 (1),-1.0 (3),-1.0 (3),
822079,kengkeng,17.013 (19),17.013 (19),17.013 (19),-1.0000 (1),-1.0 (3),-1.0 (3),
818430,diego.valsesia,16.753 (20),16.753 (20),16.753 (20),0.0051 (5),0.0 (2),0.0 (2),
827980,kbiren,16.364 (21),16.364 (21),16.364 (21),0.0000 (2),0.0 (2),0.0 (2),
1147734,MS15,15.584 (22),15.584 (22),15.584 (22),0.0600 (14),1.0 (1),0.0 (2),
837254,thiennt,15.455 (23),15.455 (23),15.455 (23),0.0150 (7),0.0 (2),0.0 (2),
822170,otter,15.325 (24),15.325 (24),15.325 (24),0.0000 (2),0.0 (2),0.0 (2),
805366,paranoid,15.195 (25),15.195 (25),15.195 (25),0.0200 (8),0.0 (2),0.0 (2),
827716,benjamin666,14.935 (26),14.935 (26),14.935 (26),0.0330 (11),0.0 (2),0.0 (2),
819633,ulosc,14.805 (27),14.805 (27),14.805 (27),0.0000 (2),0.0 (2),0.0 (2),
821086,FHH,14.286 (28),14.286 (28),14.286 (28),0.1968 (16),0.0 (2),0.0 (2),
822569,xterramann,13.247 (29),13.247 (29),13.247 (29),0.0200 (8),0.0 (2),0.0 (2),
804931,Huyuxuan,13.247 (29),13.247 (29),13.247 (29),0.0050 (4),0.0 (2),0.0 (2),
771829,buaawxl,13.247 (29),13.247 (29),13.247 (29),-1.0000 (1),-1.0 (3),-1.0 (3),
814816,BONG,12.597 (30),12.597 (30),12.597 (30),0.0200 (8),0.0 (2),0.0 (2),
829079,tigerccx,8.961 (31),8.961 (31),8.961 (31),0.0200 (8),0.0 (2),0.0 (2),
