submission_pk,User,mean_acc_all,mean_acc_classes
492682,denemmy,0.607 (1),0.618 (1),
492196,numpee,0.577 (2),0.595 (2),
490566,tkkim93,0.542 (3),0.551 (3),
483890,VeloDC,0.461 (4),0.468 (4),
487583,b03901165Shih,0.452 (5),0.437 (5),
483302,CuthbertCai,0.427 (6),0.426 (6),
487321,nywenjing,0.369 (7),0.375 (7),
