submission_pk,User,Prediction score,Duration
785651,guyon,0.3103 (1),0.00 (1),
827870,mdsalem17,0.2560 (2),0.00 (1),
835761,Paavo,0.2527 (3),0.00 (1),
821254,mykola_liashuha,0.2507 (4),0.00 (1),
821690,llamalle,0.2303 (5),0.00 (1),
821252,NourJemli,0.2303 (5),0.00 (1),
819545,moha3lans,0.2303 (5),0.00 (1),
816148,eric_saga,0.2303 (5),0.00 (1),
793988,Thibaut,0.2303 (5),0.00 (1),
787601,ihsanullah2131,0.2303 (5),0.00 (1),
829014,saulo_msantos,0.2223 (6),0.00 (1),
856461,mevrard,-1.0000 (7),0.00 (1),
818307,ecologists,-1.0000 (7),0.00 (1),
