submission_pk,User,MOTA,IDF1
984272,pmzhjj,0.87 (1),0.8636 (2),
984879,tangweiyi,0.82 (2),0.6280 (4),
978842,hhsu,0.80 (3),0.6155 (5),
984825,yangchris11,0.79 (4),0.5772 (6),
984505,richytang,0.78 (5),0.8818 (1),
984267,zhangguiwei_buaa,0.76 (6),0.5654 (7),
974187,tangzixia,0.68 (7),0.3974 (9),
984857,wusize,0.57 (8),0.7761 (3),
971508,peiyunc1989,0.57 (9),0.5269 (8),
984257,sgzy,-0.21 (10),0.3390 (10),
