submission_pk,User,Accuracy [%],Latency per image [ms],Energy consumption per inference [J],GPU memory usage per inference [M],Model size [MB],Extra Data [1] / No Extra Data [0]
833060,sayannath,97.6667 (1),13.0000 (15),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
830475,peilin,97.5000 (2),28.0000 (19),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
810807,pyt,97.5000 (2),8.0300 (9),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
838627,klyda,97.1667 (3),0.0000 (1),-1.0 (1),-1.0 (1),-1.0 (1),0.0 (1),
832984,neptuneai,97.1667 (3),10.4300 (13),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
838227,YxChen03,97.0000 (4),17.0000 (16),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
826289,zsn100,97.0000 (4),1.0000 (2),-1.0 (1),-1.0 (1),-1.0 (1),0.0 (1),
812874,stvea,96.8333 (5),17.0300 (17),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
838395,thanki,96.6667 (6),17.3800 (18),-1.0 (1),-1.0 (1),-1.0 (1),0.0 (1),
838173,yanyan999,96.6667 (6),5.9800 (5),-1.0 (1),-1.0 (1),-1.0 (1),0.0 (1),
837427,JohnMaster,96.0000 (7),0.0000 (1),-1.0 (1),-1.0 (1),-1.0 (1),0.0 (1),
826222,z1996,96.0000 (7),120.4100 (20),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
838609,halfmoonchen,95.0000 (8),5.0000 (4),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
838443,Anyq,94.8333 (9),6.9300 (6),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
832239,xu.zhao,94.8333 (9),5.9800 (5),-1.0 (1),-1.0 (1),-1.0 (1),0.0 (1),
829876,EVAI,94.5000 (10),7.8100 (7),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
838327,tensorcat,93.5000 (11),8.0000 (8),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
808976,ckyrkou,93.5000 (11),8.3100 (10),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
838686,Sidiki,93.0000 (12),3.0000 (3),-1.0 (1),-1.0 (1),-1.0 (1),0.0 (1),
837599,andrewBatutin,92.5000 (13),0.0000 (1),-1.0 (1),-1.0 (1),-1.0 (1),0.0 (1),
816568,ChoiSangbum,92.5000 (13),8.3300 (11),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
836188,jfederico,92.3333 (14),10.4300 (13),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
838292,jiangnanfei,91.0000 (15),6.9300 (6),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
834314,sambitraze,90.5000 (16),12.0000 (14),-1.0 (1),-1.0 (1),-1.0 (1),0.0 (1),
842082,paulsayak,90.3333 (17),9.5500 (12),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
839980,sayak,85.5000 (18),9.5500 (12),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
824465,ldfrancis,2.6667 (19),10.4300 (13),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
838308,melody.Du,0.0000 (20),6.9300 (6),-1.0 (1),-1.0 (1),-1.0 (1),1.0 (2),
