submission_pk,User,Accuracy,F-score,MRR,MAP
460507,romang,0.5020 (1),0.8893 (1),0.6046 (1),0.5020 (1),
460634,saeednajafi,0.4540 (2),0.8719 (2),0.5447 (2),0.4540 (2),
459986,soumyadeep,0.2000 (3),0.7560 (4),0.2000 (3),0.2000 (3),
460672,quebec_uqam_lnt,0.0260 (4),0.7831 (3),0.0311 (4),0.0260 (4),
