submission_pk,User,MRAE,MOS,SID,APPSA,MSE,PSNR,SSIM
477268,zrfan,0.07 (1),- (-),28.99 (1),0.05 (1),852268.71 (1),38.23 (1),0.96 (1),
477308,contstriver,0.09 (2),- (-),65.47 (2),0.08 (2),1940939.66 (2),34.55 (2),0.91 (2),
477143,zhangtao,0.12 (3),- (-),100.56 (3),0.08 (3),3131840.15 (3),32.70 (3),0.86 (3),
475898,zhwzhong,0.22 (4),- (-),222.66 (4),0.12 (4),6496822.30 (4),29.27 (4),0.77 (5),
476932,nattochaduke,16.26 (5),- (-),3144.98 (5),0.12 (5),93006900.13 (5),26.32 (5),0.85 (4),
