submission_pk,User,Moderate mAP,Easy mAP,Hard mAP
919111,ArDiSc,95.38 (1),94.84 (3),89.23 (2),
920266,shaozhang,94.93 (2),95.52 (2),89.15 (3),
921939,fanconic,94.41 (3),93.02 (8),88.50 (5),
918537,felixcra,89.70 (4),95.81 (1),89.28 (1),
918448,doertle,89.57 (5),93.94 (5),89.13 (4),
920068,nicloi,88.66 (6),93.48 (6),88.21 (6),
919109,oigele,88.37 (7),92.58 (9),86.84 (9),
918128,zhasun,88.28 (8),94.31 (4),86.99 (7),
921660,yifei.liu,87.90 (9),91.79 (11),86.94 (8),
922581,tanmay2703,86.96 (10),92.06 (10),86.24 (10),
922427,maschmidt,86.60 (11),93.34 (7),85.33 (11),
922604,wboettcher_eth,83.96 (12),89.50 (12),77.67 (13),
920227,yunkao,82.38 (13),77.63 (24),81.27 (12),
921692,fabiange,78.94 (14),83.84 (16),72.23 (20),
919987,deuber,75.86 (15),87.07 (13),73.22 (15),
922410,lechen,75.31 (16),86.06 (14),73.25 (14),
918698,Alanwolf,73.85 (17),83.83 (17),72.74 (16),
919087,corkillj,73.83 (18),83.65 (18),66.98 (23),
922399,rajatthakur,73.56 (19),84.06 (15),72.32 (19),
922568,pitehu,73.52 (20),83.40 (19),72.47 (17),
918959,aelias,73.30 (21),78.65 (22),71.80 (21),
922550,djec,72.69 (22),78.39 (23),72.35 (18),
921229,lys_ethz,72.69 (22),78.39 (23),72.35 (18),
921324,gerni17,72.46 (23),81.53 (20),70.59 (22),
922689,mkannwisc,70.14 (24),80.62 (21),64.40 (24),
922821,lnumerow,67.96 (25),76.86 (25),63.29 (25),
922449,kevinta,67.18 (26),72.07 (26),61.92 (26),
