submission_pk,User,Avg,Shirt R@10,Dress R@10,Toptee R@10,Shirt R@50,Dress R@50,Toptee R@50
612072,tianxi.tl,0.47 (1),0.29 (1),0.35 (1),0.38 (1),0.53 (2),0.60 (1),0.65 (2),
607581,stellastra,0.46 (2),0.28 (2),0.33 (2),0.38 (2),0.53 (1),0.60 (2),0.66 (1),
584467,tianxi.tl,0.44 (3),0.28 (3),0.32 (3),0.34 (3),0.51 (4),0.58 (3),0.62 (4),
614662,zyiday,0.44 (4),0.27 (4),0.31 (4),0.34 (4),0.51 (3),0.57 (4),0.62 (3),
555897,shang,0.37 (5),0.22 (5),0.26 (5),0.27 (5),0.44 (5),0.50 (5),0.55 (5),
606605,jskim,0.35 (6),0.20 (6),0.24 (6),0.26 (6),0.42 (6),0.48 (6),0.53 (6),
614783,captainhazard,0.30 (7),0.17 (7),0.19 (7),0.20 (7),0.37 (7),0.43 (7),0.45 (7),
556662,yihayihayou,0.19 (8),0.08 (9),0.11 (8),0.12 (8),0.22 (11),0.28 (8),0.32 (8),
546850,yupeng,0.16 (9),0.08 (10),0.08 (10),0.08 (11),0.22 (10),0.25 (9),0.26 (9),
576348,JackPiggy,0.16 (10),0.08 (11),0.09 (9),0.09 (9),0.22 (9),0.24 (10),0.25 (10),
608593,xyz,0.15 (11),0.07 (12),0.07 (11),0.08 (10),0.20 (12),0.23 (11),0.24 (11),
618615,egorlabintcev,0.12 (12),0.10 (8),0.03 (14),0.06 (12),0.26 (8),0.11 (13),0.17 (12),
608127,rawan,0.09 (13),0.04 (14),0.04 (12),0.04 (14),0.12 (13),0.14 (12),0.14 (13),
587512,ayan7246,0.07 (14),0.04 (13),0.03 (13),0.04 (13),0.11 (14),0.11 (14),0.11 (14),
1120161,leslie1101,0.01 (15),0.00 (15),0.00 (15),0.00 (15),0.01 (15),0.01 (15),0.01 (15),
1062905,Abaldrati,0.01 (15),0.00 (15),0.00 (15),0.00 (15),0.01 (15),0.01 (15),0.01 (15),
605700,acdart,0.01 (15),0.00 (15),0.00 (15),0.00 (15),0.01 (15),0.01 (15),0.01 (15),
584123,moon_star,0.01 (15),0.00 (15),0.00 (15),0.00 (15),0.01 (15),0.01 (15),0.01 (15),
