submission_pk,User,Prediction score,Duration
387797,Div_Kal,1.0000 (1),2.01 (12),
387810,tom.tring,1.0000 (1),2.01 (32),
387811,chaikou.diallo,1.0000 (1),2.01 (5),
387812,shahram,1.0000 (1),2.01 (23),
387813,Vhee,1.0000 (1),2.01 (39),
387819,alexandre.abgrall,1.0000 (1),2.01 (20),
387820,SamuelDIOP,1.0000 (1),2.00 (47),
387821,Btim,1.0000 (1),2.01 (28),
387822,shoungyu2,1.0000 (1),2.00 (44),
387823,kherfi.elyes,1.0000 (1),2.01 (22),
387824,mickaelmorel,1.0000 (1),2.01 (24),
387825,idirHoumel,1.0000 (1),2.01 (25),
387826,sara.hadj-ali,1.0000 (1),2.02 (1),
387827,Asseme,1.0000 (1),2.00 (45),
387828,drheinrich,1.0000 (1),2.01 (34),
387829,zahiayanes,1.0000 (1),2.01 (37),
387831,AntoineJourdain1,1.0000 (1),2.01 (11),
387833,SwannR,1.0000 (1),2.01 (36),
387834,TimotheCaillaud,1.0000 (1),2.01 (13),
387835,AlexandreZribi2,1.0000 (1),2.01 (3),
387836,eddyamegandjii,1.0000 (1),2.01 (19),
387837,DevSacre,1.0000 (1),2.00 (40),
387838,sabrina-chaouche,1.0000 (1),2.01 (38),
387839,Cheickna,1.0000 (1),2.01 (14),
387840,joachim.hostachy,1.0000 (1),2.01 (33),
387843,Glody,1.0000 (1),2.00 (48),
387867,EchaimaeOu,1.0000 (1),2.00 (41),
387877,sulayman1,1.0000 (1),2.01 (18),
387883,Julien_MONGUILLON,1.0000 (1),2.01 (10),
387884,guyon,1.0000 (1),2.00 (46),
387885,nico.devatine,1.0000 (1),2.01 (16),
387886,Grimpow,1.0000 (1),2.01 (9),
387887,kevin.ah-son,1.0000 (1),2.01 (17),
387888,AlbanB,1.0000 (1),2.01 (30),
387889,Saruniki,1.0000 (1),2.01 (27),
387890,simonian.charly,1.0000 (1),2.01 (7),
387891,charles.dehlinger,1.0000 (1),2.01 (29),
387892,adrien.chesneau,1.0000 (1),2.01 (6),
387893,saiddjedid,1.0000 (1),2.01 (26),
387894,antonin.gallot,1.0000 (1),2.01 (15),
387895,lena15,1.0000 (1),2.00 (43),
387896,antonin.cheymol,1.0000 (1),2.01 (35),
387897,Martinvlls,1.0000 (1),2.01 (4),
387899,Maxime.Delachaussee,1.0000 (1),2.01 (2),
387900,m.dzik,1.0000 (1),2.01 (21),
387901,magenta,1.0000 (1),2.01 (31),
388073,tttamaki,1.0000 (1),2.00 (42),
387881,lise_sun,0.0000 (2),2.01 (8),
