submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
940520,IST-Unbabel,4.20 (2),0.6052 (1),0.7417 (1),0.5828 (1),4872322439.0 (9),1214683792.0 (9),
939377,joanne.wjy,5.00 (5),0.5956 (2),0.7825 (6),0.6086 (5),2244030744.0 (6),560981507.0 (6),
935547,hantae.kim,4.60 (3),0.5947 (3),0.7446 (2),0.5852 (2),2503797760.0 (8),611278859.0 (8),
937104,shaun.lim,3.20 (1),0.5819 (4),0.7675 (3),0.5971 (3),1249902592.0 (3),297974795.0 (3),
939161,HW-TSC,4.80 (4),0.5807 (5),0.7758 (5),0.6018 (4),2243941083.0 (5),560941057.0 (5),
952300,kw,6.60 (9),0.5769 (6),0.7976 (8),0.6157 (7),2244030744.0 (6),560981507.0 (6),
933809,gregor_geigle,6.20 (8),0.5706 (7),0.7736 (4),0.6092 (6),2382759964.0 (7),595689991.0 (7),
940546,fblain,5.40 (6),0.5127 (8),0.7970 (7),0.6255 (8),1142413043.0 (2),281291535.0 (2),
940466,Bergamot,5.80 (7),0.4247 (9),0.9198 (9),0.7729 (9),74490910.0 (1),17079701.0 (1),
939460,shakedme,7.60 (10),0.3465 (10),1.1153 (10),0.8638 (10),1886937088.0 (4),471716864.0 (4),
