submission_pk,User,Loss
976501,Ajoo,0.0841 (1),
976319,TeamQ,0.3509 (2),
976094,KC988,0.3665 (3),
977613,GuineaPig,0.3698 (4),
976519,bkleiner,0.5168 (5),
