submission_pk,User,Mean joint error (procrustes alignment),Mean joint error (scale and trans alignment),Mean joint AUC (procrustes alignment),Mean joint AUC (scale and trans alignment),Mesh error (procrustes alignment),Mesh error AUC (procrustes alignment),F-score@5mm (procrustes alignment),F-score@15mm (procrustes alignment)
1079024,GR,0.87 (1),15.34 (8),0.826 (9),0.069 (9),0.85 (1),0.831 (1),0.597 (1),0.964 (1),
1146842,cyc01,0.91 (2),15.36 (9),0.819 (8),0.070 (7),0.88 (2),0.824 (2),0.564 (2),0.957 (2),
1077182,hogrp,1.08 (3),2.41 (2),0.786 (7),0.558 (3),1.03 (3),0.795 (3),0.504 (4),0.938 (4),
972398,ArtiBoost,1.08 (4),2.34 (1),0.785 (5),0.565 (2),1.04 (4),0.792 (4),0.507 (3),0.946 (3),
1120557,bullet,1.09 (5),2.48 (3),0.785 (6),0.575 (1),5.44 (8),0.115 (8),0.000 (8),0.010 (8),
968425,tlok666,1.19 (6),4.77 (6),0.762 (4),0.314 (6),1.14 (5),0.771 (5),0.438 (5),0.923 (5),
1075837,zchennj,1.28 (7),3.24 (4),0.745 (3),0.430 (5),1.26 (6),0.748 (6),0.407 (6),0.903 (6),
1143185,ataboukhadra,1.55 (8),3.65 (5),0.702 (2),0.477 (4),5.44 (8),0.115 (8),0.000 (8),0.010 (8),
992821,zhangy76,1.59 (9),14.28 (7),0.686 (1),0.069 (8),1.44 (7),0.714 (7),0.371 (7),0.875 (7),
submission_pk,User,Mean joint error,Mean joint AUC,Mesh error,Mesh error AUC,F-score@5mm,F-score@15mm
972398,ArtiBoost,2.26 (1),0.579 (1),109.50 (8),0.000 (4),0.000 (4),0.000 (4),
1077182,hogrp,2.27 (2),0.573 (2),2.21 (1),0.584 (1),0.276 (1),0.769 (1),
1075837,zchennj,3.30 (3),0.422 (3),3.25 (2),0.428 (2),0.200 (2),0.637 (2),
1143185,ataboukhadra,5.80 (4),0.268 (4),55.88 (6),0.000 (4),0.000 (4),0.000 (4),
968425,tlok666,10.30 (5),0.084 (5),103.68 (7),0.000 (4),0.000 (4),0.000 (4),
1146842,cyc01,15.42 (6),0.070 (6),14.89 (3),0.032 (3),0.030 (3),0.152 (3),
992821,zhangy76,51.99 (7),0.000 (7),52.53 (4),0.000 (4),0.000 (4),0.000 (4),
1079024,GR,53.56 (8),0.000 (7),53.93 (5),0.000 (4),0.000 (4),0.000 (4),
1120557,bullet,59.23 (9),0.000 (7),55.88 (6),0.000 (4),0.000 (4),0.000 (4),
