submission_pk,User,EER
930064,Anonymous,15.64 (1),
931981,Anonymous,16.05 (2),
931311,Anonymous,18.30 (3),
932316,Anonymous,18.80 (4),
931978,Anonymous,19.01 (5),
929201,Anonymous,19.22 (6),
929969,Anonymous,19.24 (7),
929409,Anonymous,19.70 (8),
930097,Anonymous,20.23 (9),
931943,Anonymous,20.33 (10),
929214,Anonymous,20.33 (10),
931411,Anonymous,20.63 (11),
930400,Anonymous,20.69 (12),
930289,Anonymous,20.82 (13),
930680,Anonymous,20.84 (14),
931439,Anonymous,21.61 (15),
931728,Anonymous,21.67 (16),
932209,Anonymous,22.03 (17),
929999,Anonymous,22.38 (18),
929799,Anonymous,22.38 (18),
930693,Anonymous,22.62 (19),
929730,Anonymous,23.48 (20),
929571,Anonymous,23.57 (21),
930305,Anonymous,23.88 (22),
932024,Anonymous,24.12 (23),
931251,Anonymous,24.89 (24),
929179,Anonymous,25.21 (25),
929814,Anonymous,25.25 (26),
931413,Anonymous,25.41 (27),
929811,Anonymous,25.56 (28),
929348,Anonymous,26.67 (29),
929640,Anonymous,28.96 (30),
929208,Anonymous,29.25 (31),
930907,Anonymous,29.75 (32),
