submission_pk,User,CIDEr,Bleu-1,Bleu-2,Bleu-3,Bleu-4,METEOR,ROUGE-L
502590,forence,0.644 (1),0.830 (1),0.651 (1),0.469 (1),0.326 (1),0.325 (1),0.567 (1),
502417,pp3,0.568 (2),0.820 (2),0.639 (2),0.461 (2),0.322 (2),0.321 (2),0.562 (2),
502282,fighting,0.545 (3),0.819 (3),0.628 (4),0.451 (5),0.319 (4),0.316 (3),0.557 (3),
502596,cszhe,0.519 (4),0.798 (5),0.624 (5),0.451 (4),0.317 (5),0.302 (5),0.494 (7),
501547,SRCB_ML_Lab,0.421 (5),0.815 (4),0.629 (3),0.453 (3),0.319 (3),0.297 (6),0.484 (9),
498933,anyeshine,0.377 (6),0.760 (6),0.552 (6),0.380 (6),0.261 (6),0.304 (4),0.524 (4),
490583,cyril1994,0.351 (7),0.745 (7),0.537 (8),0.366 (8),0.248 (8),0.294 (8),0.516 (5),
502341,ozancaglayan,0.331 (8),0.735 (8),0.517 (9),0.345 (9),0.233 (9),0.295 (7),0.508 (6),
501820,lyr123,0.317 (9),0.734 (9),0.540 (7),0.373 (7),0.254 (7),0.278 (9),0.452 (10),
514207,mazicwong,0.312 (10),0.714 (10),0.495 (10),0.324 (10),0.206 (10),0.277 (10),0.488 (8),
