submission_pk,User,FinalNDCG (weighted average),SearchNDCG (query-full; textual queries),CategoryNDCG (query-less; category facets)
323831,Dmitrii_Nikitko,0.3878 (2),0.5357 (1),0.3509 (2),
338121,joaopalotti,0.3660 (3),0.4783 (2),0.3380 (6),
336791,tjy,0.4016 (1),0.4381 (3),0.3924 (1),
337731,wistuba,0.3523 (5),0.4356 (4),0.3314 (8),
335911,kosari,0.3097 (11),0.4264 (5),0.2805 (12),
336972,minerva,0.3498 (8),0.4042 (6),0.3361 (7),
281561,evgeny,0.3564 (4),0.4000 (7),0.3455 (3),
336241,data_zayatz,0.3347 (9),0.3934 (8),0.3200 (9),
281721,avogadro,0.3514 (6),0.3840 (9),0.3433 (4),
268941,cikmcup2016_baseline,0.3514 (7),0.3840 (10),0.3433 (5),
271391,wizzzard,0.3514 (7),0.3840 (10),0.3433 (5),
281201,derivedByData,0.3514 (7),0.3840 (10),0.3433 (5),
281771,jimmyzxq,0.3514 (7),0.3840 (10),0.3433 (5),
289991,DL,0.3514 (7),0.3840 (10),0.3433 (5),
321381,sidorov,0.3249 (10),0.3762 (11),0.3121 (10),
274751,DataGeek,0.3072 (12),0.3647 (12),0.2928 (11),
331161,duong-trung,0.2407 (13),0.3309 (13),0.2182 (13),
338081,typingmonkey,0.2270 (14),0.3209 (14),0.2035 (14),
273991,mingyan,0.0000 (15),0.0000 (15),0.0000 (15),
329941,kjelli,0.0000 (15),0.0000 (15),0.0000 (15),
