submission_pk,User,< Rank >,Arcene,Dexter,Dorothea,Gisette,Madelon
446154,brais,2.0000 (1),0.8968 (1),0.9744 (2),0.8959 (4),0.9974 (1),0.9690 (2),
492329,salim95,3.4000 (2),0.8925 (2),0.9625 (4),0.9407 (1),0.9969 (2),0.8016 (8),
1094942,sctefanos,5.4000 (3),0.8105 (13),0.9820 (1),0.8415 (8),0.9933 (4),0.9703 (1),
925790,eustache,6.4000 (4),0.8588 (8),0.9443 (7),0.8641 (6),0.9949 (3),0.8016 (8),
953263,andrewg3311,8.0000 (5),0.8640 (5),0.9425 (8),0.9158 (2),0.9210 (18),0.8473 (7),
515998,Sikai,10.6000 (6),0.8334 (10),0.8413 (14),0.7948 (9),0.9824 (6),0.6437 (14),
52491,ehsan.variani,10.8000 (7),0.8658 (4),0.9460 (6),0.7504 (15),0.9775 (8),0.5367 (21),
892268,LP2NN,11.0000 (8),0.8475 (9),0.9150 (10),0.7017 (18),0.9688 (12),0.8717 (6),
45091,JorgeSilva,12.2000 (9),0.7456 (18),0.8165 (16),0.7718 (11),0.9677 (13),0.8867 (3),
1031837,RFBaseline,12.8000 (10),0.8169 (12),0.9115 (11),0.7268 (17),0.9698 (11),0.6794 (13),
968689,rosenhahn,13.2000 (11),0.7903 (14),0.9214 (9),0.7539 (14),0.9708 (10),0.5861 (19),
1031838,svmBaseline,13.4000 (12),0.8621 (6),0.9640 (3),0.6419 (20),0.9229 (16),0.5167 (22),
1031829,DecTree,13.4000 (12),0.7740 (15),0.8335 (15),0.7599 (13),0.9340 (15),0.7644 (9),
608097,telma_woerle,14.0000 (13),0.8230 (11),0.7252 (17),0.4751 (24),0.9578 (14),0.8777 (4),
460559,Doquet,14.4000 (14),0.5204 (25),0.9050 (12),0.8661 (5),0.8492 (20),0.7428 (10),
640858,HIJIBIJI,15.6000 (15),0.7423 (19),0.8968 (13),0.7821 (10),0.7116 (21),0.6315 (15),
36311,eric2,15.6000 (15),0.7423 (19),0.8968 (13),0.7821 (10),0.7116 (21),0.6315 (15),
382758,hechtlinger,15.6000 (15),0.7423 (19),0.8968 (13),0.7821 (10),0.7116 (21),0.6315 (15),
956973,cv335,15.8000 (16),0.7014 (21),0.5000 (22),0.5000 (22),0.9742 (9),0.8772 (5),
377876,ngocbich,16.8000 (17),0.7215 (20),0.5125 (20),0.8550 (7),0.9228 (17),0.5854 (20),
39521,katchup,17.2000 (18),0.8871 (3),- (26),0.8962 (3),- (28),- (26),
685647,telma_woerle,18.0000 (19),0.7569 (17),0.7216 (18),0.4744 (25),0.8837 (19),0.7294 (11),
390384,hassan.a103,18.0000 (19),0.8611 (7),0.4725 (23),0.6670 (19),0.5154 (23),0.5892 (18),
398869,lvignolo,19.2000 (20),0.6979 (22),0.5755 (19),0.7439 (16),0.6531 (22),0.5978 (17),
1105253,sjmcgeebio,19.6000 (21),0.7593 (16),0.5000 (22),0.5000 (22),0.5000 (26),0.7133 (12),
1134893,sjmcgee,19.8000 (22),0.6509 (23),0.5000 (22),0.7710 (12),0.5000 (26),0.6111 (16),
398897,mgerard,20.2000 (23),0.6979 (22),0.4650 (24),0.7439 (16),0.6531 (22),0.5978 (17),
125951,biubiu,22.4000 (24),- (28),- (26),- (27),0.9861 (5),- (26),
182591,test_retest1,22.8000 (25),- (28),- (26),- (27),0.9804 (7),- (26),
381537,kmaass,22.8000 (25),- (28),0.9517 (5),- (27),- (28),- (26),
48391,lukasz.romaszko,23.2000 (26),0.5268 (24),0.5010 (21),0.4950 (23),0.5017 (25),0.5078 (23),
398119,Fenfox,23.4000 (27),0.4586 (26),0.5000 (22),0.5099 (21),0.5120 (24),0.4933 (24),
968017,Pinje,26.0000 (28),-3.1415 (27),-3.1415 (25),-3.1415 (26),-3.1415 (27),-3.1415 (25),
937855,vmargot,26.0000 (28),-3.1415 (27),-3.1415 (25),-3.1415 (26),-3.1415 (27),-3.1415 (25),
645723,Salem,26.0000 (28),-3.1415 (27),-3.1415 (25),-3.1415 (26),-3.1415 (27),-3.1415 (25),
