submission_pk,User,AMCA,AMCA_Pedestrian,AMCA_Cyclist,AMCA_Car,AMCA_Truck,AMCA_Tram,AMCA_Tricycle
982466,houge,72.52 (1),68.98 (5),82.79 (1),96.03 (2),89.32 (1),80.04 (1),17.97 (2),
989929,ggraffieti,68.65 (2),80.98 (1),61.57 (4),93.90 (4),83.81 (4),65.83 (2),25.78 (1),
990076,azamat_sab,65.54 (3),70.00 (4),67.61 (3),90.16 (6),86.24 (2),64.25 (3),14.97 (3),
988050,mrifkikurniawan,64.53 (4),76.73 (2),68.11 (2),87.63 (7),85.37 (3),61.29 (4),8.07 (4),
990526,xialei,56.15 (5),63.68 (6),58.52 (5),93.67 (5),83.17 (5),37.48 (5),0.39 (6),
979727,Jingyu,54.58 (6),63.11 (7),52.78 (6),95.42 (3),79.73 (6),36.34 (6),0.13 (7),
974189,xdcvxiaodui,37.11 (7),70.93 (3),32.28 (7),22.84 (8),71.01 (7),23.25 (7),2.34 (5),
990809,nuller,16.67 (8),0.00 (8),0.00 (8),100.00 (1),0.00 (8),0.00 (8),0.00 (8),
