submission_pk,User,score,Duration
938138,phanav,0.3624 (1),58.06 (1),
936816,hzS,0.2073 (4),54.06 (2),
1075202,ihsanullah2131,0.2551 (3),44.06 (3),
935680,ebadrian,0.3550 (2),43.05 (4),
