submission_pk,User,all,large,medium,small
628932,USTR,80.54 (1),82.16 (2),81.55 (2),77.88 (1),
445724,yuantailing,80.49 (2),82.21 (1),81.62 (1),77.59 (2),
475131,gly,73.31 (3),74.21 (3),75.35 (3),69.69 (3),
953178,zfatgxu,73.22 (4),74.15 (4),75.28 (4),69.55 (5),
1147631,jej,73.17 (5),74.07 (5),75.11 (5),69.69 (4),
586139,zhouyongsheng,0.00 (6),0.00 (6),0.00 (6),0.00 (6),
submission_pk,User,all,large,medium,small
628932,USTR,86.23 (1),86.96 (1),86.58 (1),85.17 (1),
445724,yuantailing,86.16 (2),86.81 (2),86.54 (2),85.11 (2),
475131,gly,81.57 (3),81.67 (4),82.50 (3),80.15 (3),
953178,zfatgxu,81.56 (4),81.74 (3),82.50 (3),80.07 (5),
1147631,jej,81.52 (5),81.57 (5),82.46 (4),80.13 (4),
586139,zhouyongsheng,0.00 (6),0.00 (6),0.00 (5),0.00 (6),
submission_pk,User,occluded,bgcomplex,distorted,raised,wordart,handwritten,~occluded,~bgcomplex,~distorted,~raised,~wordart,~handwritten
628932,USTR,67.97 (1),77.95 (1),76.96 (1),78.68 (1),70.98 (2),57.09 (2),82.18 (2),81.42 (1),81.88 (2),81.21 (2),81.27 (1),80.74 (1),
445724,yuantailing,67.11 (2),77.77 (2),76.51 (2),78.01 (2),71.10 (1),58.44 (1),82.24 (1),81.41 (2),81.99 (1),81.38 (1),81.21 (2),80.69 (2),
953178,zfatgxu,55.81 (3),67.12 (5),66.97 (4),67.93 (4),60.38 (5),45.47 (5),75.49 (4),75.28 (4),75.57 (4),75.11 (4),74.21 (4),73.46 (4),
475131,gly,55.77 (4),67.41 (3),67.17 (3),68.17 (3),60.71 (3),45.70 (4),75.60 (3),75.31 (3),75.62 (3),75.15 (3),74.28 (3),73.55 (3),
1147631,jej,55.67 (5),67.15 (4),66.78 (5),67.82 (5),60.57 (4),46.37 (3),75.45 (5),75.20 (5),75.56 (5),75.07 (5),74.13 (5),73.40 (5),
586139,zhouyongsheng,0.00 (6),0.00 (6),0.00 (6),0.00 (6),0.00 (6),0.00 (6),0.00 (6),0.00 (6),0.00 (6),0.00 (6),0.00 (6),0.00 (6),
