submission_pk,User,F1,Precision,Recall
1020855,WENGSYX,0.91 (1),0.90 (5),0.91 (1),
1019323,fazlfrs,0.90 (2),0.90 (4),0.91 (2),
1016261,LiSiheng,0.90 (3),0.90 (2),0.90 (3),
1019541,nithishkannen,0.90 (4),0.90 (3),0.90 (4),
1019159,uyaseen,0.88 (5),0.87 (6),0.90 (5),
1020023,dipteshkanojia,0.65 (6),0.65 (7),0.65 (6),
1019707,guneetsk99,0.64 (7),0.92 (1),0.49 (7),
