submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
397187,zzmmzz,33.956 (1),0.9244 (1),1.300 (6),0.0 (2),1.0 (1),
397672,sparkfirer,33.799 (2),0.9232 (2),5.490 (13),0.0 (2),0.0 (2),
397616,chenyunjin_ULSee,33.623 (3),0.9209 (3),0.360 (4),0.0 (2),0.0 (2),
397157,Heewon,32.768 (4),0.9104 (4),57.670 (16),0.0 (2),0.0 (2),
397169,iorism,32.713 (5),0.9096 (5),4.530 (12),0.0 (2),0.0 (2),
397225,XibinSong,32.435 (6),0.9032 (6),2.830 (9),0.0 (2),0.0 (2),
397551,phunghx,31.348 (7),0.8900 (7),0.920 (5),0.0 (2),0.0 (2),
396966,useriitg,30.757 (8),0.8739 (8),196.490 (18),1.0 (1),0.0 (2),
392186,xjc_faceall,29.920 (9),0.8612 (9),0.150 (2),0.0 (2),0.0 (2),
397559,spectrum,29.815 (10),0.8602 (10),80.000 (17),1.0 (1),0.0 (2),
397478,arnavkj95,29.106 (11),0.8463 (12),3.360 (11),0.0 (2),0.0 (2),
397359,aritra0593,28.884 (12),0.8367 (13),80.000 (17),1.0 (1),0.0 (2),
397213,sonam,28.842 (13),0.8484 (11),2.369 (8),0.0 (2),0.0 (2),
397135,hewavithara,26.521 (14),0.7750 (14),11.770 (15),0.0 (2),0.0 (2),
396707,rosinwang,25.821 (15),0.7531 (15),2.900 (10),0.0 (2),0.0 (2),
391427,rathorro,25.067 (16),0.7024 (16),0.025 (1),1.0 (1),0.0 (2),
394020,jrob.husky,24.733 (17),0.6847 (17),11.500 (14),0.0 (2),0.0 (2),
397630,lanpa,22.858 (18),0.6251 (18),2.000 (7),0.0 (2),0.0 (2),
392185,cskzh,21.933 (19),0.6208 (19),0.240 (3),0.0 (2),0.0 (2),
