submission_pk,User,Accuracy (80% percentile),Accuracy (median),Accuracy (mean),Duration
475201,JTan,0.9736 (1),0.9106 (1),0.8919 (1),0.00 (12),
475189,alheld,0.9622 (2),0.8809 (3),0.8439 (3),0.00 (7),
475243,wellatiger,0.9598 (3),0.8847 (2),0.8454 (2),0.00 (14),
475196,srettie,0.9525 (4),0.8665 (4),0.8270 (6),0.00 (2),
475195,ekhoda,0.9485 (5),0.8474 (7),0.7886 (7),0.00 (8),
475100,HolyBayes,0.9456 (6),0.8516 (6),0.8374 (5),0.00 (5),
475147,vbelavin,0.9361 (7),0.8073 (9),0.7447 (9),0.00 (11),
475187,jhoya,0.9358 (8),0.8607 (5),0.8426 (4),0.00 (1),
475175,BumpHunter,0.9159 (9),0.8081 (8),0.7651 (8),0.00 (3),
475166,fcormier,0.8447 (10),0.7590 (10),0.7413 (10),0.00 (13),
475157,mmajewsk,0.7338 (11),0.5941 (11),0.5992 (11),0.00 (6),
474593,mrartemev,0.0000 (12),0.0000 (12),0.0000 (13),0.00 (15),
474845,axcel,0.0000 (12),0.0000 (12),0.0000 (12),0.00 (9),
474855,akucia,0.0000 (12),0.0000 (12),0.0000 (13),0.00 (4),
475130,thaarres,0.0000 (12),0.0000 (12),0.0000 (13),0.00 (10),
