submission_pk,User,TEST AUC,TEST SENS.,TEST SPEC.,AVG. VAL AUC
984589,qinchen13579,85.21 (1),45.00 (3),95.13 (1),81.30 (3),
973818,jharvill23,84.73 (2),38.33 (5),95.13 (1),81.51 (2),
987193,deepak242424,84.55 (3),51.67 (1),95.13 (1),78.39 (8),
985965,dicova,84.26 (4),43.33 (4),95.13 (1),80.16 (5),
986454,Ritwik2706,84.04 (5),48.33 (2),95.13 (1),81.85 (1),
980237,truonghoang,82.98 (6),43.33 (4),95.13 (1),79.12 (6),
986219,mynamenotdrew,82.83 (7),38.33 (5),95.13 (1),77.50 (11),
983163,AICubes,81.95 (8),48.33 (2),95.13 (1),78.09 (9),
985699,EIHW-MTG,81.86 (9),31.67 (8),95.13 (1),79.02 (7),
977660,arbitrary,80.92 (10),45.00 (3),95.13 (1),81.05 (4),
987093,evaluation,80.64 (11),36.67 (6),95.13 (1),77.59 (10),
984636,I_SPY_AI,74.15 (12),35.00 (7),95.13 (1),54.95 (13),
986343,GD2021,52.17 (13),11.67 (9),93.43 (2),57.06 (12),
