submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
397650,sanghyun,29.269 (1),0.8255 (1),5.780 (15),0.0 (2),0.0 (2),
397167,zzmmzz,29.164 (2),0.8231 (2),1.500 (10),0.0 (2),1.0 (1),
397179,Heewon,28.989 (3),0.8187 (4),5.040 (14),0.0 (2),0.0 (2),
397659,sparkfirer,28.984 (4),0.8191 (3),4.120 (12),0.0 (2),0.0 (2),
397285,chenyunjin_ULSee,28.768 (5),0.8139 (5),0.100 (3),0.0 (2),0.0 (2),
397252,tzm1003306213,28.737 (6),0.8137 (6),-1.000 (1),-1.0 (3),-1.0 (3),
396878,nicheng,28.645 (7),0.8111 (7),0.171 (4),0.0 (2),0.0 (2),
397510,jhyume,28.447 (8),0.8056 (8),20.250 (19),0.0 (2),0.0 (2),
393056,dshnightmare,28.412 (9),0.8042 (9),9.980 (16),0.0 (2),0.0 (2),
396795,msajjadi,28.393 (10),0.8021 (10),1.000 (7),0.0 (2),1.0 (1),
397550,phunghx,28.244 (11),0.7989 (14),0.900 (6),0.0 (2),0.0 (2),
397315,xjc_faceall,28.194 (12),0.7996 (11),18.000 (18),0.0 (2),0.0 (2),
396593,xiangyu_xu,28.186 (13),0.7992 (13),5.000 (13),1.0 (1),1.0 (1),
397266,giangbui,28.183 (14),0.7967 (15),1.250 (8),1.0 (1),0.0 (2),
397642,lanpa,28.152 (15),0.7995 (12),2.000 (11),0.0 (2),0.0 (2),
397356,cvlab,28.011 (16),0.7930 (16),1.250 (8),1.0 (1),0.0 (2),
397240,spectrum,27.739 (17),0.7917 (17),0.300 (5),1.0 (1),0.0 (2),
396699,XinDeng,27.311 (18),0.7769 (19),1200.430 (20),1.0 (1),0.0 (2),
397287,Lito,26.802 (19),0.7774 (18),-1.000 (1),-1.0 (3),-1.0 (3),
391429,rathorro,26.656 (20),0.7512 (21),0.025 (2),1.0 (1),0.0 (2),
396814,sonam,26.132 (21),0.7759 (20),1.413 (9),0.0 (2),0.0 (2),
397378,hewavithara,24.177 (22),0.7100 (22),10.160 (17),0.0 (2),0.0 (2),
