submission_pk,User,mAP
953391,lcpdeb,62.54125 (1),
953231,herunyu,58.46535 (2),
953339,signcoda,58.23432 (3),
953375,zZamm,57.77956 (4),
953379,sophiezang,57.11634 (5),
953252,saltFish,56.31188 (6),
953419,snowtyan,51.46747 (7),
953356,nekokiku,50.23927 (8),
953370,dejahu,49.75248 (9),
953343,momo233,49.48020 (10),
953203,Strider,49.00990 (11),
953246,firefighter,48.76238 (12),
953342,Estein,47.89191 (13),
953392,niangaopx,46.00071 (14),
953395,Crazy-winds,43.94389 (15),
953377,IAmWinner,42.97030 (16),
953282,Tensor1,40.12376 (17),
953260,feixu22,22.97030 (18),
