submission_pk,User,Top-10
908446,LBJ,0.907490 (1),
907026,SNAI,0.905631 (2),
769633,leo.gb,0.901188 (3),
595782,NAVER_LINE_Vision,0.894643 (4),
595694,aixizhang,0.890119 (5),
793588,yudw15,0.873313 (6),
595651,DeepBlueAI,0.839864 (7),
780680,LBJ,0.791226 (8),
596764,kekmodel,0.754545 (9),
595358,JAY-G,0.753333 (10),
543680,geyuying,0.431284 (11),
592024,dazcona,0.319706 (12),
