submission_pk,User,Accuracy
755078,Ahmed_Magd,0.9147 (1),
753471,v.kuleykin,0.9123 (2),
754119,Abdelaziz,0.8950 (3),
754481,diehard,0.8934 (4),
754293,Iyk02,0.8905 (5),
751871,YaroslavPlaskin,0.8775 (6),
754769,Albatoul_Yaseen,0.8727 (7),
753530,dfokin,0.8692 (8),
753641,Mostafa_Metwally,0.8645 (9),
753528,ValeriyaZanina,0.8641 (10),
755315,SalmanKabir,0.8597 (11),
754685,elizaverba,0.8566 (12),
755132,sg.ivanov,0.8554 (13),
753527,Mostafa_Hegazy,0.8511 (14),
754953,AnastasiaAndronova,0.8503 (15),
755047,GRoman,0.8489 (16),
750526,osmiyg,0.8432 (17),
755285,Amer,0.8428 (18),
746307,aidar_valeev,0.8388 (19),
753393,c.awais,0.8365 (20),
753627,ikram,0.8353 (21),
754864,b.guryev,0.8341 (22),
754768,cham_an,0.8201 (23),
755328,Ruslan,0.8148 (24),
754267,firasjolha,0.8093 (25),
754247,Credog,0.8089 (26),
755293,mbao01,0.8071 (27),
754612,Edelqueen,0.8063 (28),
754821,kozlovpa,0.8042 (29),
753521,Mohamed_Moustafa,0.7996 (30),
754092,Suliman.Badour,0.7906 (31),
755259,kirill_daniakin,0.7866 (32),
752569,Khadija-Fraz,0.7843 (33),
754854,women.call.me.danechka,0.7719 (34),
755203,DalerK,0.7535 (35),
753469,cisimon7,0.7417 (36),
755090,Corona_Jose,0.7319 (37),
747670,adilermek,0.6921 (38),
753720,Dzet,0.6801 (39),
755336,aleksei_evlampev,0.6127 (40),
753392,Erik_Krasilnikov,0.5106 (41),
743223,Bonilapa,0.5049 (42),
