submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
494006,q19911124,42.90 (1),0.99 (1),0.25 (4),0.00 (1),0.00 (1),
493446,opteroncx,41.91 (2),0.99 (2),0.08 (8),0.00 (1),0.00 (1),
489308,GibsonGirl,40.17 (3),0.98 (7),1.00 (2),0.00 (1),0.00 (1),
491840,xdhm2017,39.21 (4),0.99 (3),0.23 (5),0.00 (1),0.00 (1),
492624,cvjy,39.03 (5),0.98 (6),1.00 (2),0.00 (1),0.00 (1),
494382,ccvviipp,38.87 (6),0.97 (9),0.10 (7),0.00 (1),0.00 (1),
493939,XMU-VIPLab,38.19 (7),0.98 (8),0.23 (5),0.00 (1),0.00 (1),
489971,dingxuan,36.98 (8),0.97 (10),0.23 (5),0.00 (1),0.00 (1),
488083,a3232012a,35.97 (9),0.99 (4),0.08 (9),0.00 (1),0.00 (1),
487366,wangjie,35.27 (10),0.97 (11),0.23 (5),0.00 (1),0.00 (1),
491255,ghgh3269,34.22 (11),0.98 (5),0.22 (6),0.00 (1),0.00 (1),
494356,Hanzy,32.39 (12),0.97 (12),0.00 (10),0.00 (1),0.00 (1),
489619,iim_lab,32.19 (13),0.96 (13),15.00 (1),0.00 (1),0.00 (1),
483961,kuldeeppurohit3,27.56 (14),0.96 (14),0.70 (3),0.00 (1),0.00 (1),
