submission_pk,User,EER
1070171,Anonymous,11.1 (1),
1069844,Anonymous,11.1 (2),
1070084,Anonymous,12.0 (3),
1069591,Anonymous,13.4 (4),
1068116,Anonymous,13.7 (5),
1069991,Anonymous,13.7 (6),
1067226,Anonymous,14.2 (7),
1068172,Anonymous,15.0 (8),
1068473,Anonymous,15.2 (9),
1069939,Anonymous,15.4 (10),
1068514,Anonymous,16.5 (11),
1069948,Anonymous,17.8 (12),
1066465,Anonymous,18.9 (13),
1068876,Anonymous,20.6 (14),
1068288,Anonymous,20.9 (15),
1070058,Anonymous,23.1 (16),
1069947,Anonymous,24.3 (17),
1068375,Anonymous,26.0 (18),
1066825,Anonymous,44.5 (19),
1069618,Anonymous,44.9 (20),
