submission_pk,User,Accuracy
860367,R00,0.8567 (1),
858611,sefamerve_arge,0.8563 (2),
859703,moatas,0.8431 (3),
860490,WaedAlShrida,0.8420 (4),
854160,majidmalkawi997,0.8350 (5),
857896,MohammadHabash,0.8344 (6),
859692,OmarRadi,0.8280 (7),
849261,YahyaD11,0.8232 (8),
860431,DuhaHakem,0.8224 (9),
857195,RahafMgheed,0.8222 (10),
855698,M77,0.8217 (11),
856492,itanhisada,0.8150 (12),
859757,sireen,0.8089 (13),
860483,rand01,0.8088 (14),
860408,Roaaobeidat99,0.8071 (15),
860407,Batool-alsukhni,0.8037 (16),
858895,saiftalal,0.8031 (17),
857816,asseelhourani,0.8017 (18),
860171,Wolfs,0.7965 (19),
