submission_pk,User,avg_pearson,avg_spearman,anger_pearson,anger_spearman,fear_pearson,fear_spearman,joy_pearson,joy_spearman,sadness_pearson,sadness_spearman
398741,dejulearner,0.652 (1),0.645 (1),0.613 (3),0.570 (4),0.638 (1),0.593 (2),0.780 (1),0.783 (1),0.580 (2),0.636 (2),
398947,hardik.meisheri,0.640 (2),0.643 (2),0.586 (6),0.584 (1),0.625 (2),0.619 (1),0.737 (2),0.730 (2),0.613 (1),0.640 (1),
395566,Brun,0.626 (3),0.606 (3),0.631 (1),0.570 (3),0.603 (3),0.570 (3),0.699 (5),0.691 (4),0.570 (3),0.593 (4),
399392,Zarmeen,0.612 (4),0.601 (5),0.607 (4),0.561 (6),0.574 (4),0.558 (5),0.703 (4),0.689 (5),0.562 (4),0.597 (3),
392113,felipebravom,0.611 (5),0.601 (4),0.605 (5),0.562 (5),0.574 (4),0.558 (5),0.703 (4),0.689 (5),0.562 (4),0.597 (3),
399678,vineet.john,0.610 (6),0.578 (6),0.625 (2),0.576 (2),0.563 (6),0.506 (6),0.724 (3),0.714 (3),0.527 (5),0.517 (6),
398491,gnem,0.527 (7),0.521 (7),0.438 (7),0.353 (7),0.567 (5),0.569 (4),0.609 (7),0.622 (6),0.495 (7),0.539 (5),
395637,heukirne,0.454 (8),0.436 (8),0.385 (8),0.336 (8),0.300 (7),0.303 (7),0.612 (6),0.596 (7),0.519 (6),0.508 (7),
submission_pk,User,avg_pearson,avg_spearman,anger_pearson,anger_spearman,fear_pearson,fear_spearman,joy_pearson,joy_spearman,sadness_pearson,sadness_spearman
398741,dejulearner,0.531 (1),0.476 (1),0.574 (1),0.522 (1),0.492 (3),0.476 (3),0.673 (2),0.636 (2),0.387 (3),0.268 (6),
395566,Brun,0.450 (2),0.431 (2),0.429 (5),0.424 (5),0.448 (4),0.472 (4),0.567 (4),0.512 (4),0.354 (4),0.317 (3),
399678,vineet.john,0.447 (3),0.415 (4),0.327 (8),0.266 (8),0.536 (1),0.518 (2),0.728 (1),0.725 (1),0.196 (6),0.152 (7),
398491,gnem,0.424 (4),0.431 (3),0.382 (6),0.287 (7),0.513 (2),0.532 (1),0.651 (3),0.625 (3),0.148 (7),0.278 (5),
398947,hardik.meisheri,0.423 (5),0.384 (5),0.483 (2),0.452 (4),0.367 (5),0.340 (5),0.493 (5),0.467 (5),0.348 (5),0.279 (4),
392113,felipebravom,0.404 (6),0.360 (7),0.471 (3),0.460 (3),0.334 (6),0.291 (6),0.416 (7),0.335 (6),0.394 (2),0.354 (2),
399392,Zarmeen,0.403 (7),0.361 (6),0.469 (4),0.463 (2),0.334 (6),0.291 (6),0.416 (7),0.335 (6),0.394 (2),0.354 (2),
395637,heukirne,0.364 (8),0.316 (8),0.367 (7),0.298 (6),0.175 (7),0.239 (7),0.419 (6),0.328 (7),0.495 (1),0.399 (1),
