submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
784279,aaaSR,25.0087 (1),0.8796 (1),0.2015 (33),0.0 (2),0.0 (2),
823759,meihsuan.wu0301,24.6618 (2),0.8708 (2),0.1940 (31),0.0 (2),0.0 (2),
837270,LearnedSmartphoneISP,24.4118 (3),0.8636 (3),0.0892 (15),-1.0 (1),-1.0 (1),
842130,AIISP,24.3090 (4),0.8434 (11),0.0828 (12),0.0 (2),0.0 (2),
830471,AmeliaWatson,24.2419 (5),0.8521 (6),0.1197 (22),0.0 (2),0.0 (2),
833445,ToggleC,24.2172 (6),0.8570 (5),0.0103 (3),1.0 (3),1.0 (3),
852195,zlzhang,24.1764 (7),0.8270 (21),0.2064 (36),0.0 (2),0.0 (2),
830059,rhwang,24.1634 (8),0.8006 (34),0.1175 (20),0.0 (2),0.0 (2),
858733,imgclear,24.1250 (9),0.8347 (16),0.0745 (9),0.0 (2),0.0 (2),
787278,frank_wang87,24.1229 (10),0.8441 (10),0.1684 (26),0.0 (2),0.0 (2),
838184,nerox8664,24.0170 (11),0.8324 (17),0.0754 (11),1.0 (3),0.0 (2),
839699,beom_k,23.9762 (12),0.8462 (8),0.2250 (37),0.0 (2),0.0 (2),
830318,adkevin3307,23.9566 (13),0.8509 (7),0.1196 (21),0.0 (2),0.0 (2),
832936,summelon,23.8971 (14),0.8574 (4),0.0991 (17),0.0 (2),0.0 (2),
838137,jaeyon,23.8032 (15),0.8450 (9),0.0753 (10),0.0 (2),0.0 (2),
833245,AlbertJoseph,23.8032 (15),0.8450 (9),0.0705 (8),0.0 (2),0.0 (2),
837949,xushusong001,23.7727 (16),0.8392 (12),0.0584 (5),0.0 (2),0.0 (2),
838523,Etienne,23.7173 (17),0.8388 (13),1.6413 (39),1.0 (3),0.0 (2),
838783,noahtcv,23.6673 (18),0.8164 (30),0.0700 (7),0.0 (2),0.0 (2),
833396,ajslfy,23.6213 (19),0.8374 (15),0.1917 (28),0.0 (2),0.0 (2),
818265,liyong156,23.5622 (20),0.8164 (29),0.0846 (13),0.0 (2),0.0 (2),
838893,Minsu.Kwon,23.4889 (21),0.8305 (19),0.0636 (6),0.0 (2),0.0 (2),
821727,zsbb,23.4480 (22),0.8156 (31),0.1648 (25),0.0 (2),0.0 (2),
832910,myungje.lee,23.4116 (23),0.8070 (33),0.0864 (14),1.0 (3),0.0 (2),
820019,ACVLabNCKU,23.3645 (24),0.8382 (14),0.3399 (38),1.0 (3),0.0 (2),
837979,alright1117,23.0312 (25),0.8321 (18),0.1016 (18),-1.0 (1),-1.0 (1),
819685,ManyuLee,23.0263 (26),0.8260 (22),0.1935 (30),0.0 (2),0.0 (2),
810437,Yangwj,22.9357 (27),0.8232 (25),0.2048 (35),0.0 (2),0.0 (2),
810436,Non_persuit,22.9357 (27),0.8232 (25),0.2033 (34),0.0 (2),0.0 (2),
808637,moonshot,22.8363 (28),0.8253 (24),0.0071 (1),0.0 (2),0.0 (2),
806318,ha22457098,22.8109 (29),0.8231 (26),0.0073 (2),0.0 (2),0.0 (2),
836687,leoyhcheng,22.6247 (30),0.7952 (35),0.1926 (29),0.0 (2),0.0 (2),
838359,kalpesh_svnit,22.5035 (31),0.8283 (20),0.1035 (19),1.0 (3),1.0 (3),
838498,jesse1029,22.3848 (32),0.8086 (32),0.0572 (4),1.0 (3),0.0 (2),
808410,tulasi,22.2866 (33),0.7486 (36),0.1956 (32),1.0 (3),1.0 (3),
831993,usuitakumi,22.1324 (34),0.8190 (28),0.1598 (24),0.0 (2),0.0 (2),
838384,vishalchudasama,22.0566 (35),0.8255 (23),0.1427 (23),0.0 (2),0.0 (2),
801781,MHChen,21.8423 (36),0.8206 (27),0.0933 (16),0.0 (2),0.0 (2),
784617,sayak,8.0091 (37),0.0087 (37),0.1800 (27),1.0 (3),1.0 (3),
