submission_pk,User,MAE_M,MAE_mu
383935,AngelDeborahSuseelan,0.00000 (1),0.00000 (1),
383641,mcliche,0.62100 (2),0.57200 (4),
398516,lyashuk,0.83900 (3),0.47800 (2),
383069,seirasto,1.20000 (4),0.53700 (3),
383088,preslav,1.20000 (4),0.53700 (3),
383695,madehong,1.20000 (4),0.53700 (3),
384923,balikasg,1.20000 (4),0.53700 (3),
