submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
830993,HatsuneMiku,30.6337 (1),0.8595 (1),-1.0000 (1),-1.0 (3),-1.0 (3),
836879,Devonn,30.4366 (2),0.8581 (2),0.0600 (4),0.0 (2),0.0 (2),
828534,vipsl,29.9632 (3),0.8507 (4),1.0000 (10),0.0 (2),0.0 (2),
827457,chaowentao,29.8888 (4),0.8514 (3),1.0000 (10),1.0 (1),0.0 (2),
830711,TouchFish,28.8337 (5),0.8339 (5),0.5000 (7),0.0 (2),0.0 (2),
835227,D.D.D.,28.4326 (6),0.8183 (6),-1.0000 (1),-1.0 (3),-1.0 (3),
835737,lixin41,28.1148 (7),0.8157 (7),0.4000 (6),0.0 (2),0.0 (2),
826004,splinter23,28.0584 (8),0.8139 (8),-1.0000 (1),-1.0 (3),-1.0 (3),
837090,noahtcv,27.9717 (9),0.8135 (9),0.9400 (9),0.0 (2),0.0 (2),
831456,Chenzhujia,27.9188 (10),0.8116 (10),-1.0000 (1),-1.0 (3),-1.0 (3),
837075,littlewhitesea,27.9044 (11),0.8107 (11),13.8000 (12),-1.0 (3),-1.0 (3),
837107,bluedot_team,27.8513 (12),0.8099 (14),0.0000 (2),0.0 (2),0.0 (2),
820652,Gogoing,27.8423 (13),0.8101 (13),2.7500 (11),0.0 (2),0.0 (2),
826328,chuminglin,27.8412 (14),0.8092 (15),0.5000 (7),0.0 (2),0.0 (2),
828554,anymyb,27.8396 (15),0.8105 (12),0.7000 (8),0.0 (2),0.0 (2),
827253,xps,27.7715 (16),0.8075 (17),1.0000 (10),0.0 (2),0.0 (2),
821380,q19911124,27.7524 (17),0.8065 (20),1.0000 (10),1.0 (1),1.0 (1),
826160,TerVis,27.7300 (18),0.8089 (16),0.5000 (7),0.0 (2),0.0 (2),
831628,wefwewfsdf,27.7048 (19),0.8065 (19),-1.0000 (1),-1.0 (3),-1.0 (3),
846585,WeiHao960421,27.6984 (20),0.8072 (18),-1.0000 (1),-1.0 (3),-1.0 (3),
823296,fnasiri,27.6836 (21),0.8044 (22),1.0000 (10),1.0 (1),1.0 (1),
804400,yangcao,27.6816 (22),0.8062 (21),-1.0000 (1),-1.0 (3),-1.0 (3),
812419,ostyakov,27.6625 (23),0.7963 (28),-1.0000 (1),-1.0 (3),-1.0 (3),
818688,strangeloop,27.6136 (24),0.8013 (24),-1.0000 (1),0.0 (2),0.0 (2),
825142,HaveAtry_2021,27.6026 (25),0.8010 (25),-1.0000 (1),-1.0 (3),-1.0 (3),
831800,tractatus,27.5620 (26),0.8017 (23),-1.0000 (1),-1.0 (3),-1.0 (3),
820442,Derek430,27.5304 (27),0.8002 (26),-1.0000 (1),-1.0 (3),-1.0 (3),
811963,YUNX,27.4973 (28),0.7988 (27),0.3000 (5),0.0 (2),0.0 (2),
839290,xiaoyihe,27.2799 (29),0.7908 (29),0.0300 (3),0.0 (2),0.0 (2),
815052,HelloVideo,27.0902 (30),0.7786 (30),-1.0000 (1),-1.0 (3),-1.0 (3),
763574,RenYang,27.0902 (30),0.7786 (30),0.0000 (2),0.0 (2),0.0 (2),
