submission_pk,User,macro_f1
783655,ygq_1993,0.6904 (1),
765666,Handreek,0.6574 (2),
773949,Foltig,0.6524 (3),
783593,alexander.peerdeman,0.6475 (4),
772270,pkwagner,0.6473 (5),
783188,lang_matthias,0.6444 (6),
779801,lukasleist,0.6421 (7),
770443,zhankeliu,0.6412 (8),
783782,Wolfgang,0.6394 (9),
781575,foltgroup66,0.6363 (10),
783710,adrianm,0.6351 (11),
778564,c92142d9,0.6346 (12),
781887,leny-mi,0.6342 (13),
767783,rainyday,0.6332 (14),
781945,derRichter,0.6301 (15),
770683,Ich_73,0.6298 (16),
783758,XuLu,0.6289 (17),
783669,Johanna12345,0.6271 (18),
782818,bobaboba,0.6209 (19),
780498,jwehrstein,0.6189 (20),
772888,tkopf,0.6178 (21),
778705,julieeecious,0.6119 (22),
783427,FoLTStudent,0.5926 (23),
770708,DanLiu_1008,0.5862 (24),
777594,group06-sharedTask,0.5822 (25),
783644,lkcall,0.5643 (26),
783349,janw,0.5641 (27),
777195,Hakox,0.5562 (28),
776526,foltuser123,0.5220 (29),
783677,Jansson4,0.4911 (30),
778650,ZhangYiwen,0.2601 (31),
781765,MattinSayed,0.1821 (32),
