submission_pk,User,Rec. Rate
826811,smilelab2021,0.985300 (1),
826752,wz,0.983400 (2),
826655,rhythmblue,0.976500 (3),
826644,wenbinwuee,0.966900 (4),
824679,lin.honghui,0.956700 (5),
826784,ly59782,0.954800 (6),
823237,Bugmaker,0.939600 (7),
823816,m-decoster,0.933200 (8),
826336,papastrat,0.917200 (9),
826801,xduyzy,0.908600 (10),
825917,pyt,0.902700 (11),
825392,Benjia_Zhou,0.891800 (12),
825571,ycmin,0.889400 (13),
756971,osincan,0.620300 (14),
