submission_pk,User,EER
1107940,Anonymous,4.90 (1),
1069958,Anonymous,4.98 (2),
1146748,Anonymous,8.16 (3),
1017651,Anonymous,16.37 (4),
1146848,Anonymous,18.03 (5),
1147921,Anonymous,19.11 (6),
1075247,Anonymous,19.93 (7),
1004724,Anonymous,19.97 (8),
1056605,Anonymous,20.66 (9),
997822,Anonymous,22.07 (10),
977280,Anonymous,22.38 (11),
1091901,Anonymous,23.48 (12),
977270,Anonymous,23.48 (12),
1006756,Anonymous,24.51 (13),
977259,Anonymous,25.25 (14),
1093567,Anonymous,25.41 (15),
977252,Anonymous,25.56 (16),
1039118,Anonymous,26.80 (17),
1104026,Anonymous,28.14 (18),
1055623,Anonymous,32.46 (19),
