submission_pk,User,ROC
737192,ductuan024,0.9427 (1),
740498,QuangPH3,0.9418 (2),
740626,lethanh98,0.9405 (3),
739095,hunterhieu,0.9399 (4),
741423,nhanv,0.9360 (5),
730406,ductuan024,0.9250 (6),
733983,phanhoang,0.9199 (7),
739441,hkab,0.9098 (8),
736321,TranTuanVi,0.8921 (9),
736522,phuocban,0.8651 (10),
738992,duynhat,0.7777 (11),
739890,mungnguyen,0.6559 (12),
730800,thuanthan258,0.5072 (13),
727755,bavo,0.4794 (14),
