submission_pk,User,f1,recall,prec,acc
1146122,faridlazuarda,0.965 (1),0.958 (1),0.973 (1),0.972 (1),
1140320,agungtriu,0.944 (2),0.946 (2),0.942 (3),0.954 (2),
836235,indoganteng,0.927 (3),0.911 (3),0.950 (2),0.944 (3),
717924,denritchie,0.920 (4),0.909 (4),0.937 (5),0.938 (4),
1114415,thiffany.pratama,0.911 (5),0.894 (6),0.938 (4),0.928 (6),
935428,wilsonwongo,0.910 (6),0.895 (5),0.935 (6),0.932 (5),
813655,Wikidepia,0.865 (7),0.849 (7),0.895 (8),0.896 (8),
707085,samuelc,0.862 (8),0.846 (8),0.895 (7),0.898 (7),
715968,grutsudatua,0.763 (9),0.753 (9),0.784 (9),0.804 (9),
