submission_pk,User,MainScore,Pearson,Spearman,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
1121758,shanggong,1.7516 (1),0.8774 (1),0.8742 (1),1.0000 (3),1.0 (1),0.0 (2),
920872,cscaoyue,1.7495 (2),0.8761 (3),0.8734 (2),1.0000 (3),1.0 (1),1.0 (1),
922059,liuchun,1.7494 (3),0.8764 (2),0.8731 (3),1.0000 (3),1.0 (1),1.0 (1),
837050,binyi,1.7479 (4),0.8759 (4),0.8720 (4),1.0000 (3),0.0 (2),0.0 (2),
858721,bqy2020,1.7321 (5),0.8666 (6),0.8655 (5),1.0000 (3),0.0 (2),0.0 (2),
836936,minton,1.7302 (6),0.8657 (7),0.8645 (6),1.0000 (3),0.0 (2),0.0 (2),
831863,Zirui_Wang,1.7252 (7),0.8668 (5),0.8584 (7),1.0000 (3),0.0 (2),0.0 (2),
837031,wth,1.7110 (8),0.8605 (8),0.8505 (11),1.0000 (3),0.0 (2),0.0 (2),
900368,pkuyiyang,1.7106 (9),0.8560 (9),0.8546 (8),1.0000 (3),1.0 (1),1.0 (1),
835225,zq31,1.7030 (10),0.8560 (10),0.8470 (12),1.0000 (3),0.0 (2),0.0 (2),
941323,ilcve21,1.7025 (11),0.8506 (13),0.8519 (10),1.0000 (3),0.0 (2),0.0 (2),
836566,yyf123,1.6967 (12),0.8509 (12),0.8458 (14),1.0000 (3),0.0 (2),0.0 (2),
835501,sherlocky,1.6957 (13),0.8490 (14),0.8467 (13),1.0000 (3),0.0 (2),0.0 (2),
1119130,pvxkcr81905,1.6952 (14),0.8433 (18),0.8519 (9),1.0000 (3),0.0 (2),0.0 (2),
920869,snnuyjs,1.6949 (15),0.8524 (11),0.8425 (17),1.0000 (3),1.0 (1),1.0 (1),
830686,FengLongtao,1.6919 (16),0.8477 (15),0.8442 (15),1.0000 (3),0.0 (2),0.0 (2),
853834,ssw20,1.6873 (17),0.8435 (17),0.8438 (16),1.0000 (3),0.0 (2),0.0 (2),
1121894,Xi0919,1.6774 (18),0.8377 (20),0.8398 (18),1.0000 (3),0.0 (2),0.0 (2),
805928,Timothy_Cilered,1.6763 (19),0.8458 (16),0.8305 (21),1.0000 (3),0.0 (2),0.0 (2),
836845,wangjh19,1.6740 (20),0.8375 (21),0.8365 (19),1.0000 (3),0.0 (2),0.0 (2),
823901,josecp,1.6700 (21),0.8415 (19),0.8286 (24),1.0000 (3),0.0 (2),0.0 (2),
857270,ChenYifanThu,1.6645 (22),0.8338 (23),0.8307 (20),1.0000 (3),0.0 (2),0.0 (2),
857263,ssw,1.6633 (23),0.8344 (22),0.8289 (23),1.0000 (3),0.0 (2),0.0 (2),
836557,alir,1.6542 (24),0.8305 (25),0.8237 (27),1.0000 (3),0.0 (2),1.0 (1),
834322,HaiYANg,1.6539 (25),0.8292 (26),0.8247 (26),1.0000 (3),0.0 (2),0.0 (2),
812513,ljz,1.6521 (26),0.8328 (24),0.8194 (29),1.0000 (3),0.0 (2),0.0 (2),
802301,musicbeer,1.6500 (27),0.8241 (28),0.8258 (25),-1.0000 (1),0.0 (2),0.0 (2),
1119474,evkdaj32716,1.6497 (28),0.8205 (29),0.8292 (22),1.0000 (3),0.0 (2),0.0 (2),
825441,orboai,1.6428 (29),0.8289 (27),0.8139 (31),0.0000 (2),0.0 (2),0.0 (2),
1026677,hitvpc_huawei,1.6336 (30),0.8136 (32),0.8201 (28),1.0000 (3),1.0 (1),1.0 (1),
1026630,hitcaoyue,1.6282 (31),0.8186 (31),0.8096 (33),1.0000 (3),1.0 (1),1.0 (1),
786453,dimo.light,1.6219 (32),0.8193 (30),0.8026 (36),1.0000 (3),0.0 (2),0.0 (2),
956096,rtc,1.6208 (33),0.8058 (42),0.8150 (30),1.0000 (3),1.0 (1),1.0 (1),
835025,debut_kele,1.6192 (34),0.8082 (38),0.8111 (32),-1.0000 (1),0.0 (2),0.0 (2),
833869,panda123,1.6167 (35),0.8110 (37),0.8057 (35),1.0000 (3),0.0 (2),0.0 (2),
835382,zhangtaotao,1.6161 (36),0.8068 (39),0.8093 (34),1.0000 (3),0.0 (2),0.0 (2),
1092922,lss21,1.6127 (37),0.8135 (33),0.7992 (37),1.0000 (3),0.0 (2),0.0 (2),
811719,SimengSun,1.6097 (38),0.8126 (34),0.7972 (39),1.0000 (3),1.0 (1),1.0 (1),
1030346,gjy19,1.6057 (39),0.8113 (36),0.7944 (41),1.0000 (3),0.0 (2),0.0 (2),
1026657,imupkucaoyue,1.6022 (40),0.8064 (40),0.7958 (40),1.0000 (3),1.0 (1),1.0 (1),
808335,lu27,1.6002 (41),0.8115 (35),0.7887 (46),1.0000 (3),1.0 (1),1.0 (1),
956363,SIA,1.5964 (42),0.8058 (41),0.7905 (44),1.0000 (3),0.0 (2),1.0 (1),
1119241,qdvtoh18795,1.5888 (43),0.7903 (48),0.7985 (38),1.0000 (3),0.0 (2),0.0 (2),
957839,tensorcat,1.5883 (44),0.7946 (46),0.7937 (43),1.0000 (3),0.0 (2),0.0 (2),
836798,rmc,1.5877 (45),0.7978 (43),0.7900 (45),-1.0000 (1),0.0 (2),0.0 (2),
831027,harsh_2403,1.5870 (46),0.7926 (47),0.7944 (42),0.0000 (2),0.0 (2),0.0 (2),
832924,Ahn,1.5806 (47),0.7951 (44),0.7854 (47),1.0000 (3),0.0 (2),0.0 (2),
825058,sfezza,1.5778 (48),0.7949 (45),0.7828 (48),0.0000 (2),0.0 (2),0.0 (2),
808186,keyan,1.5665 (49),0.7892 (49),0.7773 (49),-1.0000 (1),0.0 (2),0.0 (2),
824990,dhammou,1.5634 (50),0.7891 (50),0.7742 (51),0.0000 (2),0.0 (2),0.0 (2),
817105,Doudou233,1.5546 (51),0.7799 (51),0.7747 (50),1.0000 (3),0.0 (2),1.0 (1),
804841,gtkim,1.5459 (52),0.7778 (52),0.7681 (53),0.0000 (2),0.0 (2),0.0 (2),
830368,yzheng,1.5337 (53),0.7758 (53),0.7579 (56),0.0000 (2),0.0 (2),0.0 (2),
962896,timothyhaoningwu,1.5308 (54),0.7619 (56),0.7689 (52),1.0000 (3),0.0 (2),0.0 (2),
837052,kalpesh_svnit,1.5308 (55),0.7676 (54),0.7632 (55),-1.0000 (1),0.0 (2),0.0 (2),
815411,anse,1.5247 (56),0.7579 (57),0.7668 (54),1.0000 (3),0.0 (2),0.0 (2),
817182,X-cat,1.5157 (57),0.7631 (55),0.7526 (57),1.0000 (3),0.0 (2),0.0 (2),
