submission_pk,User,Accuracy (80% percentile),Accuracy (median),Accuracy (mean),Duration
475464,alheld,0.9365 (1),0.8946 (1),0.8821 (1),0.00 (5),
475457,smehta,0.9192 (2),0.8773 (2),0.8666 (2),0.00 (11),
475453,axcel,0.9185 (3),0.8511 (5),0.8188 (7),0.00 (8),
475466,srettie,0.9078 (4),0.8658 (4),0.8553 (4),0.00 (3),
475463,ekhoda,0.9072 (5),0.8671 (3),0.8571 (3),0.00 (7),
475436,Raskolnikov,0.8963 (6),0.8509 (6),0.8388 (6),0.00 (6),
475406,DonDraper,0.8949 (7),0.8498 (7),0.8390 (5),0.00 (9),
475451,mmajewsk,0.7796 (8),0.6600 (8),0.6580 (8),0.00 (10),
475465,JTan,0.7502 (9),0.5221 (9),0.4962 (9),0.00 (2),
475441,wellatiger,0.3567 (10),0.1915 (10),0.2153 (10),0.00 (4),
475216,whoami,0.0000 (11),0.0000 (11),0.0000 (11),0.00 (1),
