submission_pk,User,Misclassification
556266,batnik96,76.071429 (1),
545842,njtuzzy,79.600000 (2),
547356,yuzehui1996,79.885714 (3),
555055,DeepBlueAI,81.257143 (4),
390737,ntech,83.985714 (5),
390920,cleardusk,84.957143 (6),
390414,Bekhouche,85.757143 (7),
390927,szhou,86.014286 (8),
390746,amitkumar05,86.228571 (9),
390627,bknyaz,86.371429 (10),
384895,charrin,87.414286 (11),
390466,yuzhipeng,87.500000 (12),
384784,csmath,87.571429 (13),
386954,frkngrpnr,89.842857 (14),
387512,icv,90.714286 (15),
390069,pablovin,91.585714 (16),
390347,iarganda,91.800000 (17),
388728,lld533,93.428571 (18),
