submission_pk,User,f1,recall,prec,acc
1141784,rocky.arkan,0.810 (1),0.835 (1),0.789 (2),0.000 (1),
1073419,khairunnisa,0.809 (2),0.822 (2),0.797 (1),0.000 (1),
1107198,thiffany.pratama,0.773 (3),0.800 (3),0.750 (5),0.000 (1),
707082,cahya,0.772 (4),0.778 (4),0.766 (4),0.000 (1),
1112656,MFadhlanP,0.764 (5),0.761 (6),0.767 (3),0.000 (1),
1109942,ilhamsyahids,0.752 (6),0.773 (5),0.735 (6),0.000 (1),
1112706,hilmibukhori,0.723 (7),0.721 (7),0.731 (7),0.000 (1),
1112532,hafidzainul,0.696 (8),0.700 (8),0.693 (8),0.000 (1),
1111604,aazmhafidz09,0.539 (9),0.509 (9),0.575 (9),0.000 (1),
