submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
446849,ghgh3269,0.00 (1),0.00 (1),1.08 (14),0.00 (2),1.00 (1),
446657,BMIPL_UNIST,0.00 (1),0.00 (1),4.68 (5),0.00 (2),0.00 (2),
446552,nmhkahn,0.00 (1),0.00 (1),13.84 (3),0.00 (2),0.00 (2),
446602,cskzh,0.00 (1),0.00 (1),0.20 (16),0.00 (2),0.00 (2),
446749,Hot_Milk,0.00 (1),0.00 (1),2.10 (9),0.00 (2),0.00 (2),
446488,adamian98,0.00 (1),0.00 (1),18.00 (2),0.00 (2),0.00 (2),
446713,boe_sbg,0.00 (1),0.00 (1),1.11 (13),0.00 (2),0.00 (2),
446788,join16,0.00 (1),0.00 (1),4.12 (6),0.00 (2),0.00 (2),
446683,jhyume,0.00 (1),0.00 (1),7.28 (4),0.00 (2),0.00 (2),
446590,JSChoi,0.00 (1),0.00 (1),1.60 (11),0.00 (2),0.00 (2),
446839,JuanLuisGonzalez,0.00 (1),0.00 (1),0.02 (18),0.00 (2),0.00 (2),
446564,jingliting,0.00 (1),0.00 (1),0.72 (15),0.00 (2),0.00 (2),
446823,enoch,0.00 (1),0.00 (1),1.83 (10),0.00 (2),0.00 (2),
445701,BigHead,0.00 (1),0.00 (1),1.50 (12),0.00 (2),0.00 (2),
446759,yyuan13,0.00 (1),0.00 (1),0.10 (17),0.00 (2),0.00 (2),
446333,mikigom,0.00 (1),0.00 (1),396.00 (1),1.00 (1),0.00 (2),
446341,cr2018,0.00 (1),0.00 (1),2.14 (8),0.00 (2),0.00 (2),
446371,yifita,0.00 (1),0.00 (1),2.91 (7),1.00 (1),-1.00 (3),
