submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
446503,xdhm,0.00 (1),0.00 (1),9.15 (10),0.00 (2),1.00 (1),
446544,Tia,0.00 (1),0.00 (1),0.32 (17),0.00 (2),1.00 (1),
446526,YuXiaoli,0.00 (1),0.00 (1),0.97 (16),0.00 (2),1.00 (1),
446835,fks,0.00 (1),0.00 (1),11.46 (7),0.00 (2),1.00 (1),
446822,hjsim,0.00 (1),0.00 (1),10.00 (9),0.00 (2),1.00 (1),
446508,rutgerssprinter,0.00 (1),0.00 (1),10.85 (8),0.00 (2),0.00 (2),
446573,sehwan,0.00 (1),0.00 (1),3.85 (15),0.00 (2),0.00 (2),
446798,ranjanisi,0.00 (1),0.00 (1),8.53 (11),1.00 (1),0.00 (2),
446808,Steven911,0.00 (1),0.00 (1),16.67 (6),0.00 (2),0.00 (2),
446816,shuffle,0.00 (1),0.00 (1),94.00 (1),1.00 (1),0.00 (2),
446787,qxc,0.00 (1),0.00 (1),19.72 (4),0.00 (2),0.00 (2),
446812,zhaoruhao,0.00 (1),0.00 (1),6.42 (13),0.00 (2),0.00 (2),
446566,DemirAdil,0.00 (1),0.00 (1),20.00 (3),1.00 (1),0.00 (2),
446858,AnilGenc,0.00 (1),0.00 (1),8.16 (12),1.00 (1),0.00 (2),
445914,xprof,0.00 (1),0.00 (1),5.20 (14),1.00 (1),0.00 (2),
446796,ecsuiplab,0.00 (1),0.00 (1),18.86 (5),1.00 (1),0.00 (2),
446276,phunghx,0.00 (1),0.00 (1),21.75 (2),0.00 (2),0.00 (2),
446330,liujl09,0.00 (1),0.00 (1),5.20 (14),0.00 (2),0.00 (2),
446504,hjy,0.00 (1),0.00 (1),-1.00 (18),-1.00 (3),-1.00 (3),
446880,MKFMIKU,0.00 (1),0.00 (1),-1.00 (18),-1.00 (3),-1.00 (3),
446807,lizhangray,0.00 (1),0.00 (1),-1.00 (18),-1.00 (3),-1.00 (3),
