submission_pk,User,correct
1112112,zyego,72.82 (1),
983917,michaln,72.14 (2),
981708,wduong,71.88 (3),
994602,dice_runner,70.79 (4),
976244,Cogitat,69.28 (5),
982745,ant-brain,68.44 (6),
982760,MatrixW,68.33 (7),
986047,nik-sm,68.14 (8),
974875,neerajwagh,67.05 (9),
982978,wei33,66.81 (10),
982579,ms01,66.16 (11),
1091013,loktarxiao,65.65 (12),
974375,dangkh109,65.54 (13),
989328,mo123,65.50 (14),
982355,g21boual,64.18 (15),
965428,KUylee,63.71 (16),
956161,arijitx,63.39 (17),
980707,Div12345,63.38 (18),
963743,andacdemir,63.02 (19),
969121,anton.v,63.02 (19),
983418,brain_gl,61.77 (20),
975328,vanntc,61.73 (21),
985038,cardosofelipe,59.11 (22),
979757,minmade,58.77 (23),
984696,X.X,58.41 (24),
971316,Ramiro,57.65 (25),
974031,ssc,57.44 (26),
965851,Prem,46.86 (27),
967259,parthnatekar,40.56 (28),
