submission_pk,User,score
526929,kodenii,0.79358 (1),
528159,mhlwsk,0.78994 (2),
528064,YSChengzi,0.78243 (3),
527683,fets,0.76581 (4),
528101,shijiyuanaa,0.76545 (5),
526927,RaymondLee,0.76507 (6),
528641,BigTomato,0.75329 (7),
527657,rmhsiao,0.74153 (8),
527334,fannaidan,0.73374 (9),
526779,clearlove7,0.72035 (10),
528270,SOTA,0.71757 (11),
528105,hit_1172510217,0.70255 (12),
528284,xuhongqing,0.69026 (13),
527823,silverbullet111,0.68986 (14),
527791,calcium,0.68274 (15),
528043,PINKG,0.67315 (16),
528272,chenzhongan,0.63419 (17),
527636,SunYunLong,0.59814 (18),
