submission_pk,User,MAP@5,MAP@1,MAP@3,MAP@10,MAP_All,RR,P@3,P@5,P@10
877676,sshaar,0.346 (1),0.304 (1),0.339 (1),0.351 (1),0.355 (1),0.350 (1),0.143 (1),0.091 (2),0.052 (2),
879850,simihaylova,0.328 (2),0.278 (2),0.313 (2),0.338 (2),0.346 (2),0.336 (2),0.143 (1),0.099 (1),0.059 (1),
875818,NLytics,0.215 (3),0.171 (3),0.210 (3),0.219 (3),0.223 (3),0.216 (3),0.101 (2),0.068 (3),0.038 (3),
