submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
939339,HW-TSC,2.60 (1),0.5835 (1),0.5442 (1),0.3896 (1),2243941083.0 (5),560941057.0 (5),
940224,IST-Unbabel,4.40 (2),0.5786 (2),0.5673 (2),0.3929 (2),2409244995.0 (8),598943476.0 (8),
929983,hantae.kim,5.80 (5),0.5677 (3),0.5796 (4),0.4295 (4),2445115000.0 (9),611278859.0 (9),
940927,joanne.wjy,4.80 (3),0.5666 (4),0.5787 (3),0.4317 (5),2244030744.0 (6),560981507.0 (6),
937326,shaun.lim,4.40 (2),0.5511 (5),0.5867 (6),0.4256 (3),1249902592.0 (4),297974795.0 (4),
952271,kw,6.20 (6),0.5281 (6),0.5814 (5),0.4421 (8),2244030744.0 (6),560981507.0 (6),
933801,gregor_geigle,7.00 (8),0.4726 (7),0.6263 (7),0.4399 (7),2264844300.0 (7),566211075.0 (7),
940541,fblain,5.60 (4),0.4025 (8),0.6291 (8),0.4330 (6),1142413043.0 (3),281291535.0 (3),
939926,LisaIan,5.80 (5),0.3688 (9),0.8541 (9),0.6049 (9),6985478.0 (1),421537.0 (1),
939584,shakedme,6.80 (7),0.2257 (10),1.0703 (10),0.8342 (10),626401280.0 (2),156589824.0 (2),
