submission_pk,User,Mean-Average-Precision,Average-Precision,R-Precision,Reciprical-Rank,Precision@3,Precision@5,Precision@10
877131,busecarik,0.722 (1),0.722 (1),0.667 (1),1.000 (1),1.000 (1),1.000 (1),0.900 (1),
868870,msaidzengin,0.655 (2),0.655 (2),0.597 (4),1.000 (1),1.000 (1),1.000 (1),0.800 (2),
867209,maramhasanain,0.648 (3),0.648 (3),0.618 (2),1.000 (1),1.000 (1),1.000 (1),0.800 (2),
867215,ibaris,0.606 (4),0.606 (4),0.604 (3),0.500 (2),0.667 (2),0.800 (2),0.800 (2),
861347,sshaar,0.516 (5),0.516 (5),0.479 (5),1.000 (1),0.667 (2),0.600 (3),0.600 (3),
