submission_pk,User,wer (%)
828149,Anonymous,23.50 (1),
837890,Anonymous,38.55 (2),
838237,Anonymous,39.98 (3),
836332,Anonymous,40.04 (4),
837560,Anonymous,40.51 (5),
837967,Anonymous,40.63 (6),
835217,Anonymous,43.13 (7),
819724,Anonymous,45.21 (8),
