submission_pk,User,ARI
737791,davypiraylenko,1.0000 (1),
736692,Artem_Vazhentsev,1.0000 (1),
739323,MironKuznetsov,0.6520 (2),
738717,alexbelov,0.6520 (2),
737760,eugeneavd,0.6520 (2),
737714,anevarko,0.6520 (2),
737642,vanessa,0.6520 (2),
737213,alexalexalex,0.6520 (2),
735136,palette_knife25,0.6303 (3),
723404,dementyeva_ds,0.6278 (4),
737688,kmisterios,0.5774 (5),
739365,alexeygb,0.4831 (6),
736352,addmitriev,0.3480 (7),
